epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,1414,3.000e-04,0.023687,32.4238,0.87416,62.3
2,2828,2.998e-04,0.021379,32.7832,0.88347,61.3
3,4242,2.992e-04,0.020595,33.0062,0.89294,61.3
4,5656,2.982e-04,0.020131,33.3722,0.89296,61.5
5,7070,2.967e-04,0.019813,33.3092,0.89763,61.5
6,8484,2.949e-04,0.019596,33.5154,0.90210,61.5
7,9898,2.927e-04,0.019299,33.6306,0.90075,61.5
8,11312,2.900e-04,0.019202,33.5268,0.90258,61.4
9,12726,2.870e-04,0.019061,33.6729,0.90634,61.2
10,14140,2.837e-04,0.018928,33.7401,0.90563,61.2
11,15554,2.799e-04,0.018763,33.8917,0.90585,61.2
12,16968,2.758e-04,0.018661,33.9834,0.90561,61.5
13,18382,2.714e-04,0.018618,33.9460,0.90927,61.6
14,19796,2.666e-04,0.018510,34.0502,0.90766,61.2
15,21210,2.615e-04,0.018430,34.0885,0.90848,61.0
16,22624,2.561e-04,0.018344,33.9816,0.90630,61.2
17,24038,2.504e-04,0.018273,34.1411,0.90906,61.4
18,25452,2.444e-04,0.018258,34.0691,0.91377,61.2
19,26866,2.382e-04,0.018196,33.8845,0.91338,61.3
20,28280,2.317e-04,0.018154,34.0888,0.91384,61.3
21,29694,2.250e-04,0.018085,34.2765,0.91299,61.2
22,31108,2.181e-04,0.018002,34.3186,0.91006,61.1
23,32522,2.110e-04,0.017943,34.2816,0.91340,61.0
24,33936,2.038e-04,0.017921,34.3225,0.91426,60.9
25,35350,1.964e-04,0.017886,34.0483,0.91584,61.1
26,36764,1.888e-04,0.017868,34.3154,0.91636,61.4
27,38178,1.812e-04,0.017744,34.3218,0.91621,61.3
28,39592,1.735e-04,0.017777,34.4049,0.91659,61.1
29,41006,1.657e-04,0.017735,34.3320,0.91654,61.3
30,42420,1.579e-04,0.017697,34.3868,0.91728,61.3
31,43834,1.500e-04,0.017709,34.4193,0.91806,60.9
32,45248,1.421e-04,0.017627,34.2852,0.91824,61.3
33,46662,1.343e-04,0.017599,34.4971,0.91612,61.4
34,48076,1.265e-04,0.017573,34.5072,0.91838,61.3
35,49490,1.188e-04,0.017569,34.5208,0.91748,61.4
36,50904,1.112e-04,0.017502,34.3780,0.91944,61.1
37,52318,1.036e-04,0.017456,34.5174,0.91758,61.4
38,53732,9.624e-05,0.017468,34.4676,0.91994,61.3
39,55146,8.899e-05,0.017452,34.5885,0.91925,61.1
40,56560,8.190e-05,0.017402,34.5387,0.91860,61.5
41,57974,7.500e-05,0.017316,34.4990,0.91990,61.4
42,59388,6.830e-05,0.017372,34.6445,0.91894,61.5
43,60802,6.183e-05,0.017353,34.6125,0.91992,61.2
44,62216,5.560e-05,0.017302,34.6584,0.91854,61.3
45,63630,4.963e-05,0.017323,34.6426,0.92012,61.2
46,65044,4.393e-05,0.017277,34.6083,0.92067,61.3
47,66458,3.853e-05,0.017252,34.6770,0.91984,61.4
48,67872,3.343e-05,0.017221,34.6189,0.92079,61.3
49,69286,2.865e-05,0.017263,34.6623,0.92058,61.2
50,70700,2.420e-05,0.017216,34.6527,0.92101,61.4
51,72114,2.010e-05,0.017197,34.6360,0.92105,61.5
52,73528,1.635e-05,0.017184,34.6874,0.92090,61.7
53,74942,1.297e-05,0.017216,34.7062,0.92076,61.5
54,76356,9.963e-06,0.017147,34.6880,0.92126,61.2
55,77770,7.342e-06,0.017153,34.7063,0.92108,60.6
56,79184,5.111e-06,0.017164,34.7210,0.92062,60.7
57,80598,3.278e-06,0.017175,34.7202,0.92098,60.8
58,82012,1.847e-06,0.017191,34.7260,0.92078,60.7
59,83426,8.217e-07,0.017108,34.7164,0.92105,60.5
60,84840,2.056e-07,0.017167,34.7171,0.92101,60.5
