epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,1414,3.000e-04,0.023126,33.0038,0.87048,62.5
2,2828,2.998e-04,0.021902,33.1761,0.87629,62.1
3,4242,2.992e-04,0.021589,33.2501,0.87589,62.4
4,5656,2.982e-04,0.021333,33.3587,0.87578,62.4
5,7070,2.967e-04,0.021253,33.3008,0.87951,62.2
6,8484,2.949e-04,0.021179,33.4257,0.87915,62.2
7,9898,2.927e-04,0.021067,33.3747,0.88229,62.1
8,11312,2.900e-04,0.020991,33.5948,0.88035,61.9
9,12726,2.870e-04,0.020872,33.5472,0.88373,62.1
10,14140,2.837e-04,0.020790,33.4485,0.88414,61.9
11,15554,2.799e-04,0.020684,33.6274,0.88405,62.0
12,16968,2.758e-04,0.020644,33.6564,0.88214,62.0
13,18382,2.714e-04,0.020572,33.6231,0.87867,61.7
14,19796,2.666e-04,0.020538,33.6591,0.88661,61.7
15,21210,2.615e-04,0.020486,33.8289,0.88443,61.8
16,22624,2.561e-04,0.020429,33.8390,0.88571,61.9
17,24038,2.504e-04,0.020390,33.6719,0.88634,62.0
18,25452,2.444e-04,0.020370,33.5952,0.88719,61.9
19,26866,2.382e-04,0.020338,33.8172,0.88588,62.1
20,28280,2.317e-04,0.020296,33.8112,0.88463,62.5
21,29694,2.250e-04,0.020174,33.8759,0.88536,62.3
22,31108,2.181e-04,0.020252,33.8042,0.88677,62.2
23,32522,2.110e-04,0.020243,33.8374,0.88756,62.5
24,33936,2.038e-04,0.020143,33.9008,0.88963,62.4
25,35350,1.964e-04,0.020084,33.8563,0.88814,62.5
26,36764,1.888e-04,0.020058,33.8950,0.88816,62.1
27,38178,1.812e-04,0.020026,33.9387,0.88773,61.9
28,39592,1.735e-04,0.020113,33.9547,0.88779,62.3
29,41006,1.657e-04,0.020073,33.9245,0.88702,62.5
30,42420,1.579e-04,0.019967,33.9826,0.88856,62.5
31,43834,1.500e-04,0.019907,34.0109,0.88926,62.6
32,45248,1.421e-04,0.019949,34.0050,0.88968,62.2
33,46662,1.343e-04,0.019857,34.0611,0.88809,62.0
34,48076,1.265e-04,0.019857,33.9461,0.89151,62.5
35,49490,1.188e-04,0.019825,34.0689,0.88962,62.4
36,50904,1.112e-04,0.019829,34.0108,0.89056,62.5
37,52318,1.036e-04,0.019745,33.9920,0.88989,62.5
38,53732,9.624e-05,0.019719,34.0435,0.89128,62.3
39,55146,8.899e-05,0.019765,34.0980,0.89072,62.1
40,56560,8.190e-05,0.019728,34.1006,0.89043,62.0
41,57974,7.500e-05,0.019657,34.1047,0.88994,61.9
42,59388,6.830e-05,0.019671,34.0331,0.89219,61.9
43,60802,6.183e-05,0.019648,34.0132,0.88970,62.1
44,62216,5.560e-05,0.019612,34.0978,0.89253,62.2
45,63630,4.963e-05,0.019553,34.1249,0.89240,62.3
46,65044,4.393e-05,0.019617,34.1535,0.89233,62.2
47,66458,3.853e-05,0.019606,34.1506,0.89244,61.6
48,67872,3.343e-05,0.019444,34.1774,0.89276,61.5
49,69286,2.865e-05,0.019571,34.1761,0.89210,61.6
50,70700,2.420e-05,0.019601,34.1659,0.89302,61.6
51,72114,2.010e-05,0.019534,34.1617,0.89308,61.5
52,73528,1.635e-05,0.019544,34.1728,0.89340,61.5
53,74942,1.297e-05,0.019532,34.1798,0.89299,61.7
54,76356,9.963e-06,0.019577,34.1928,0.89376,61.5
55,77770,7.342e-06,0.019497,34.1864,0.89304,61.5
56,79184,5.111e-06,0.019407,34.2039,0.89299,61.4
57,80598,3.278e-06,0.019449,34.1895,0.89299,61.4
58,82012,1.847e-06,0.019482,34.1929,0.89324,61.4
59,83426,8.217e-07,0.019434,34.1965,0.89333,61.5
60,84840,2.056e-07,0.019536,34.1967,0.89325,61.6
