epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,1414,3.000e-04,0.027899,32.2522,0.82576,61.8
2,2828,2.998e-04,0.025002,32.6595,0.84497,61.2
3,4242,2.992e-04,0.024091,33.0306,0.84907,61.2
4,5656,2.982e-04,0.023571,33.2067,0.84958,61.5
5,7070,2.967e-04,0.023105,33.4333,0.85480,61.6
6,8484,2.949e-04,0.022743,33.4334,0.86227,61.5
7,9898,2.927e-04,0.022438,33.6682,0.86389,61.8
8,11312,2.900e-04,0.022302,33.5927,0.86520,61.5
9,12726,2.870e-04,0.022097,33.7325,0.86989,61.3
10,14140,2.837e-04,0.021926,33.8939,0.86884,61.5
11,15554,2.799e-04,0.021739,34.0363,0.87025,61.7
12,16968,2.758e-04,0.021557,34.0658,0.86646,61.9
13,18382,2.714e-04,0.021447,33.8281,0.87630,61.6
14,19796,2.666e-04,0.021355,34.0207,0.87046,61.7
15,21210,2.615e-04,0.021178,34.0858,0.87343,61.9
16,22624,2.561e-04,0.021153,34.1536,0.87930,61.7
17,24038,2.504e-04,0.021053,34.1696,0.87681,61.8
18,25452,2.444e-04,0.020913,34.3217,0.87863,61.9
19,26866,2.382e-04,0.020879,34.3764,0.87849,61.6
20,28280,2.317e-04,0.020785,34.4249,0.87929,61.5
21,29694,2.250e-04,0.020630,34.2782,0.88038,61.4
22,31108,2.181e-04,0.020587,34.4251,0.87898,61.4
23,32522,2.110e-04,0.020545,34.5279,0.87714,61.8
24,33936,2.038e-04,0.020616,34.3844,0.88330,61.5
25,35350,1.964e-04,0.020426,34.6133,0.88096,61.4
26,36764,1.888e-04,0.020283,34.4988,0.88409,61.7
27,38178,1.812e-04,0.020357,34.5973,0.88221,61.7
28,39592,1.735e-04,0.020250,34.6258,0.88442,61.7
29,41006,1.657e-04,0.020135,34.5576,0.88268,61.4
30,42420,1.579e-04,0.020133,34.6474,0.88451,61.3
31,43834,1.500e-04,0.020060,34.7637,0.88406,61.3
32,45248,1.421e-04,0.020069,34.6949,0.88578,61.4
33,46662,1.343e-04,0.019934,34.7720,0.88472,61.3
34,48076,1.265e-04,0.019910,34.8361,0.88385,61.4
35,49490,1.188e-04,0.019886,34.8331,0.88480,61.7
36,50904,1.112e-04,0.019855,34.8670,0.88639,61.6
37,52318,1.036e-04,0.019752,34.7181,0.88822,61.3
38,53732,9.624e-05,0.019681,34.8763,0.88698,61.1
39,55146,8.899e-05,0.019685,34.9148,0.88870,61.2
40,56560,8.190e-05,0.019591,34.9503,0.88782,61.2
41,57974,7.500e-05,0.019586,35.0060,0.88703,61.5
42,59388,6.830e-05,0.019506,34.7845,0.89042,61.5
43,60802,6.183e-05,0.019487,34.9012,0.88886,61.2
44,62216,5.560e-05,0.019469,35.0085,0.88919,61.2
45,63630,4.963e-05,0.019521,34.8889,0.88998,61.4
46,65044,4.393e-05,0.019451,34.8937,0.89057,61.3
47,66458,3.853e-05,0.019414,35.0851,0.88780,61.5
48,67872,3.343e-05,0.019364,35.0921,0.88984,61.4
49,69286,2.865e-05,0.019280,35.0618,0.88975,61.5
50,70700,2.420e-05,0.019358,35.0186,0.89138,61.5
51,72114,2.010e-05,0.019281,35.1048,0.89063,61.4
52,73528,1.635e-05,0.019291,35.0940,0.89000,61.4
53,74942,1.297e-05,0.019175,35.1125,0.89060,61.2
54,76356,9.963e-06,0.019177,35.1543,0.88975,61.2
55,77770,7.342e-06,0.019275,35.1540,0.89003,61.3
56,79184,5.111e-06,0.019194,35.1278,0.89085,61.3
57,80598,3.278e-06,0.019170,35.1459,0.89077,61.4
58,82012,1.847e-06,0.019168,35.1336,0.89103,61.4
59,83426,8.217e-07,0.019186,35.1513,0.89081,61.3
60,84840,2.056e-07,0.019239,35.1484,0.89073,61.4
