epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,1414,3.000e-04,0.020768,33.2994,0.89769,63.0
2,2828,2.998e-04,0.019609,33.4503,0.90056,61.7
3,4242,2.992e-04,0.019359,33.4403,0.90409,61.7
4,5656,2.982e-04,0.019259,33.6722,0.90325,61.9
5,7070,2.967e-04,0.019234,33.7468,0.90447,61.7
6,8484,2.949e-04,0.019156,33.7220,0.90589,61.6
7,9898,2.927e-04,0.018962,33.8573,0.90622,61.7
8,11312,2.900e-04,0.018991,33.8312,0.90543,61.7
9,12726,2.870e-04,0.018853,33.8177,0.90776,61.9
10,14140,2.837e-04,0.018870,33.9807,0.90801,61.7
11,15554,2.799e-04,0.018755,33.9347,0.90734,61.1
12,16968,2.758e-04,0.018698,34.1121,0.90670,61.0
13,18382,2.714e-04,0.018641,34.0178,0.90870,61.3
14,19796,2.666e-04,0.018536,33.9178,0.90960,61.5
15,21210,2.615e-04,0.018525,34.0894,0.90854,61.6
16,22624,2.561e-04,0.018419,34.2080,0.90749,61.3
17,24038,2.504e-04,0.018429,33.9827,0.91103,61.1
18,25452,2.444e-04,0.018380,34.2241,0.90918,61.5
19,26866,2.382e-04,0.018362,34.0742,0.91174,61.2
20,28280,2.317e-04,0.018237,34.1305,0.91248,61.2
21,29694,2.250e-04,0.018263,34.2662,0.91067,61.4
22,31108,2.181e-04,0.018250,34.2702,0.91265,61.6
23,32522,2.110e-04,0.018252,34.3636,0.91261,61.3
24,33936,2.038e-04,0.018126,34.3786,0.91204,61.3
25,35350,1.964e-04,0.018171,34.2608,0.91326,61.2
26,36764,1.888e-04,0.018084,34.3259,0.91351,61.8
27,38178,1.812e-04,0.018030,34.4402,0.91303,61.6
28,39592,1.735e-04,0.018024,34.3731,0.91418,61.5
29,41006,1.657e-04,0.017928,34.4598,0.91567,61.3
30,42420,1.579e-04,0.017850,34.5424,0.91562,61.5
31,43834,1.500e-04,0.017786,34.6045,0.91653,61.8
32,45248,1.421e-04,0.017669,34.5370,0.91797,61.8
33,46662,1.343e-04,0.017555,34.7026,0.91797,61.6
34,48076,1.265e-04,0.017579,34.6833,0.92031,61.5
35,49490,1.188e-04,0.017451,34.6931,0.91977,62.0
36,50904,1.112e-04,0.017370,34.6278,0.92147,61.9
37,52318,1.036e-04,0.017312,34.7122,0.92085,62.3
38,53732,9.624e-05,0.017337,34.6859,0.92215,62.0
39,55146,8.899e-05,0.017231,34.7894,0.92309,62.0
40,56560,8.190e-05,0.017183,34.8537,0.92226,61.8
41,57974,7.500e-05,0.017119,34.8073,0.92233,61.6
42,59388,6.830e-05,0.017094,34.8470,0.92324,61.7
43,60802,6.183e-05,0.017141,34.8270,0.92275,62.0
44,62216,5.560e-05,0.016999,34.7990,0.92416,61.6
45,63630,4.963e-05,0.017072,34.8798,0.92418,61.7
46,65044,4.393e-05,0.017027,34.8228,0.92440,61.3
47,66458,3.853e-05,0.016971,34.8856,0.92380,61.7
48,67872,3.343e-05,0.016873,34.9509,0.92365,61.4
49,69286,2.865e-05,0.016906,34.9485,0.92435,61.5
50,70700,2.420e-05,0.016915,34.8769,0.92526,61.9
51,72114,2.010e-05,0.016883,34.9525,0.92474,61.7
52,73528,1.635e-05,0.016870,34.9436,0.92524,62.0
53,74942,1.297e-05,0.016897,34.9675,0.92491,61.7
54,76356,9.963e-06,0.016793,34.9603,0.92531,61.5
55,77770,7.342e-06,0.016833,34.9544,0.92560,61.8
56,79184,5.111e-06,0.016838,34.9692,0.92554,61.7
57,80598,3.278e-06,0.016844,34.9638,0.92561,61.5
58,82012,1.847e-06,0.016832,34.9780,0.92540,61.7
59,83426,8.217e-07,0.016817,34.9761,0.92553,61.4
60,84840,2.056e-07,0.016823,34.9777,0.92553,61.2
