epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,1414,3.000e-04,0.037508,28.5782,0.72286,1057.9
2,2828,2.998e-04,0.037104,28.6832,0.72444,1055.3
3,4242,2.992e-04,0.036727,28.7396,0.72629,1054.0
4,5656,2.982e-04,0.036564,28.7689,0.72798,1056.5
5,7070,2.967e-04,0.036267,28.6860,0.72931,1056.5
6,8484,2.949e-04,0.036118,28.7270,0.72972,1056.2
7,9898,2.927e-04,0.035946,28.8974,0.73224,1055.3
8,11312,2.900e-04,0.035818,28.7764,0.73126,1056.1
9,12726,2.870e-04,0.035838,28.9168,0.73515,1055.5
10,14140,2.837e-04,0.035657,28.8615,0.73566,1055.8
11,15554,2.799e-04,0.035601,28.9423,0.73617,1056.5
12,16968,2.758e-04,0.035511,28.9741,0.73727,1055.8
13,18382,2.714e-04,0.035425,28.7535,0.73811,1056.8
14,19796,2.666e-04,0.035363,28.9297,0.73923,1057.2
15,21210,2.615e-04,0.035256,28.9976,0.73879,1057.4
16,22624,2.561e-04,0.035293,29.0174,0.73939,1057.8
17,24038,2.504e-04,0.035224,29.0214,0.73981,1058.8
18,25452,2.444e-04,0.035151,28.9872,0.74073,1057.6
19,26866,2.382e-04,0.035108,29.0375,0.74144,1058.9
20,28280,2.317e-04,0.035107,29.0163,0.74146,1059.4
21,29694,2.250e-04,0.034988,29.0629,0.74213,1055.4
22,31108,2.181e-04,0.034986,29.0777,0.74243,1059.1
23,32522,2.110e-04,0.034931,29.0161,0.74368,1059.0
24,33936,2.038e-04,0.034962,29.0596,0.74337,1057.7
25,35350,1.964e-04,0.034913,29.0351,0.74388,1059.4
26,36764,1.888e-04,0.034773,29.0015,0.74366,1057.1
27,38178,1.812e-04,0.034875,29.0999,0.74415,1058.1
28,39592,1.735e-04,0.034768,29.1317,0.74479,1058.0
29,41006,1.657e-04,0.034675,29.1175,0.74515,1057.6
30,42420,1.579e-04,0.034749,29.1329,0.74503,1057.9
31,43834,1.500e-04,0.034695,29.0974,0.74409,1058.2
32,45248,1.421e-04,0.034769,29.1202,0.74478,1060.0
33,46662,1.343e-04,0.034642,29.1492,0.74505,1058.0
34,48076,1.265e-04,0.034641,29.1701,0.74516,1060.6
35,49490,1.188e-04,0.034625,29.1507,0.74566,1058.6
36,50904,1.112e-04,0.034681,29.1628,0.74603,1058.1
37,52318,1.036e-04,0.034547,29.1887,0.74522,1058.1
38,53732,9.624e-05,0.034543,29.1644,0.74642,1058.9
39,55146,8.899e-05,0.034530,29.1338,0.74614,1058.2
40,56560,8.190e-05,0.034483,29.1944,0.74667,1060.0
41,57974,7.500e-05,0.034497,29.1688,0.74702,1058.3
42,59388,6.830e-05,0.034440,29.1488,0.74702,1057.9
43,60802,6.183e-05,0.034441,29.1445,0.74740,1058.6
44,62216,5.560e-05,0.034438,29.1534,0.74750,1057.7
45,63630,4.963e-05,0.034489,29.1468,0.74749,1057.8
46,65044,4.393e-05,0.034462,29.1794,0.74719,1057.7
47,66458,3.853e-05,0.034421,29.1954,0.74780,1058.5
48,67872,3.343e-05,0.034365,29.1638,0.74803,1057.5
49,69286,2.865e-05,0.034368,29.1920,0.74831,1057.2
50,70700,2.420e-05,0.034422,29.2025,0.74803,1057.6
51,72114,2.010e-05,0.034357,29.1999,0.74839,1057.3
52,73528,1.635e-05,0.034390,29.1931,0.74816,1056.9
53,74942,1.297e-05,0.034288,29.2070,0.74846,1056.9
54,76356,9.963e-06,0.034277,29.2194,0.74833,1056.0
55,77770,7.342e-06,0.034380,29.2256,0.74813,1055.7
56,79184,5.111e-06,0.034298,29.2173,0.74833,1057.0
57,80598,3.278e-06,0.034262,29.2244,0.74834,1056.7
58,82012,1.847e-06,0.034260,29.2117,0.74855,1057.0
59,83426,8.217e-07,0.034352,29.2164,0.74847,1057.2
60,84840,2.056e-07,0.034383,29.2172,0.74846,1054.7
