epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,1414,3.000e-04,0.038103,27.5499,0.70362,1066.8
2,2828,2.998e-04,0.037448,27.6332,0.70842,1062.5
3,4242,2.992e-04,0.037204,27.7200,0.70870,1064.6
4,5656,2.982e-04,0.037016,27.7690,0.70712,1062.9
5,7070,2.967e-04,0.036853,27.8265,0.70906,1063.4
6,8484,2.949e-04,0.036898,27.7249,0.71110,1064.5
7,9898,2.927e-04,0.036777,27.7673,0.71143,1063.4
8,11312,2.900e-04,0.036762,27.8090,0.71158,1065.2
9,12726,2.870e-04,0.036705,27.8131,0.71327,1063.2
10,14140,2.837e-04,0.036544,27.7399,0.71272,1066.3
11,15554,2.799e-04,0.036588,27.8104,0.71322,1064.4
12,16968,2.758e-04,0.036582,27.8469,0.71144,1063.4
13,18382,2.714e-04,0.036556,27.7923,0.71235,1063.6
14,19796,2.666e-04,0.036467,27.8693,0.71326,1061.8
15,21210,2.615e-04,0.036387,27.8581,0.71386,1062.2
16,22624,2.561e-04,0.036372,27.8215,0.71466,1060.9
17,24038,2.504e-04,0.036368,27.8583,0.71487,1062.8
18,25452,2.444e-04,0.036391,27.8195,0.71461,1062.5
19,26866,2.382e-04,0.036333,27.8221,0.71361,1062.8
20,28280,2.317e-04,0.036351,27.9030,0.71417,1062.7
21,29694,2.250e-04,0.036335,27.8266,0.71582,1063.3
22,31108,2.181e-04,0.036255,27.8354,0.71518,1062.9
23,32522,2.110e-04,0.036198,27.9072,0.71554,1063.7
24,33936,2.038e-04,0.036173,27.8799,0.71377,1063.2
25,35350,1.964e-04,0.036180,27.8216,0.71507,1061.1
26,36764,1.888e-04,0.036137,27.9003,0.71625,1062.9
27,38178,1.812e-04,0.036185,27.9032,0.71462,1064.3
28,39592,1.735e-04,0.036114,27.9404,0.71604,1063.8
29,41006,1.657e-04,0.036170,27.9102,0.71611,1064.8
30,42420,1.579e-04,0.036012,27.9395,0.71646,1065.8
31,43834,1.500e-04,0.036062,27.9244,0.71634,1064.7
32,45248,1.421e-04,0.036071,27.9724,0.71620,1064.7
33,46662,1.343e-04,0.036008,27.8911,0.71566,1063.9
34,48076,1.265e-04,0.036025,27.9444,0.71626,1064.1
35,49490,1.188e-04,0.035996,27.9486,0.71738,1063.7
36,50904,1.112e-04,0.036064,27.9248,0.71709,1065.1
37,52318,1.036e-04,0.035998,27.9384,0.71689,1065.8
38,53732,9.624e-05,0.035971,27.9829,0.71659,1064.1
39,55146,8.899e-05,0.036003,27.9153,0.71733,1064.0
40,56560,8.190e-05,0.035975,27.9633,0.71642,1063.7
41,57974,7.500e-05,0.035971,27.9610,0.71672,1064.2
42,59388,6.830e-05,0.035872,27.9510,0.71732,1065.7
43,60802,6.183e-05,0.035900,27.9671,0.71725,1064.2
44,62216,5.560e-05,0.035954,27.9901,0.71760,1063.0
45,63630,4.963e-05,0.035916,27.9715,0.71747,1063.2
46,65044,4.393e-05,0.035906,27.9661,0.71778,1064.3
47,66458,3.853e-05,0.035922,27.9855,0.71810,1063.6
48,67872,3.343e-05,0.035845,27.9668,0.71749,1063.6
49,69286,2.865e-05,0.035847,27.9682,0.71750,1063.5
50,70700,2.420e-05,0.035861,27.9709,0.71783,1061.6
51,72114,2.010e-05,0.035831,27.9795,0.71774,1063.2
52,73528,1.635e-05,0.035893,27.9886,0.71772,1063.0
53,74942,1.297e-05,0.035817,27.9765,0.71770,1061.7
54,76356,9.963e-06,0.035818,27.9861,0.71788,1063.9
55,77770,7.342e-06,0.035785,27.9936,0.71794,1061.3
56,79184,5.111e-06,0.035824,27.9811,0.71799,1062.6
57,80598,3.278e-06,0.035849,27.9837,0.71790,1061.0
58,82012,1.847e-06,0.035864,27.9866,0.71792,1061.7
59,83426,8.217e-07,0.035836,27.9880,0.71795,1062.1
60,84840,2.056e-07,0.035771,27.9890,0.71795,1060.8
