epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,1414,3.000e-04,0.023148,33.5780,0.87253,62.2
2,2828,2.998e-04,0.021085,33.9377,0.88706,61.6
3,4242,2.992e-04,0.020455,34.0215,0.89446,61.5
4,5656,2.982e-04,0.020089,34.2931,0.90045,61.6
5,7070,2.967e-04,0.019790,34.4008,0.90042,61.7
6,8484,2.949e-04,0.019553,34.2386,0.90556,61.6
7,9898,2.927e-04,0.019292,34.4733,0.90510,61.5
8,11312,2.900e-04,0.019217,34.0655,0.90737,61.7
9,12726,2.870e-04,0.019100,34.5788,0.90178,61.7
10,14140,2.837e-04,0.019017,34.8414,0.90676,61.8
11,15554,2.799e-04,0.018916,34.7192,0.90845,61.6
12,16968,2.758e-04,0.018724,34.9202,0.90678,61.6
13,18382,2.714e-04,0.018700,34.6852,0.91205,61.5
14,19796,2.666e-04,0.018649,34.8329,0.90562,61.5
15,21210,2.615e-04,0.018482,34.8394,0.91379,61.6
16,22624,2.561e-04,0.018481,35.0447,0.91440,61.5
17,24038,2.504e-04,0.018423,35.0548,0.91330,61.5
18,25452,2.444e-04,0.018328,35.1129,0.91364,61.4
19,26866,2.382e-04,0.018242,35.1358,0.91482,61.3
20,28280,2.317e-04,0.018187,34.6420,0.90185,61.4
21,29694,2.250e-04,0.018178,34.9913,0.91695,61.3
22,31108,2.181e-04,0.018169,35.1614,0.91247,61.4
23,32522,2.110e-04,0.018117,35.0963,0.91447,61.5
24,33936,2.038e-04,0.018098,35.1471,0.91894,61.3
25,35350,1.964e-04,0.018032,35.2119,0.91696,61.3
26,36764,1.888e-04,0.017893,35.2666,0.91675,61.2
27,38178,1.812e-04,0.017981,35.2531,0.91820,61.3
28,39592,1.735e-04,0.017929,35.2707,0.91747,61.3
29,41006,1.657e-04,0.017854,35.2542,0.91925,61.5
30,42420,1.579e-04,0.017776,35.3174,0.91738,61.3
31,43834,1.500e-04,0.017783,35.2745,0.91872,61.1
32,45248,1.421e-04,0.017777,35.3323,0.91927,61.2
33,46662,1.343e-04,0.017707,35.3960,0.91671,61.5
34,48076,1.265e-04,0.017708,35.3534,0.91723,61.2
35,49490,1.188e-04,0.017671,35.3938,0.91839,61.2
36,50904,1.112e-04,0.017682,35.4481,0.91904,61.2
37,52318,1.036e-04,0.017586,35.3994,0.92058,61.6
38,53732,9.624e-05,0.017533,35.4520,0.91827,61.1
39,55146,8.899e-05,0.017537,35.4562,0.91963,61.6
40,56560,8.190e-05,0.017520,35.5162,0.91968,61.1
41,57974,7.500e-05,0.017471,35.5324,0.92038,61.8
42,59388,6.830e-05,0.017436,35.4828,0.92152,61.2
43,60802,6.183e-05,0.017408,35.5550,0.92039,61.4
44,62216,5.560e-05,0.017429,35.5350,0.92144,61.3
45,63630,4.963e-05,0.017442,35.4706,0.92227,61.4
46,65044,4.393e-05,0.017407,35.5147,0.92215,61.9
47,66458,3.853e-05,0.017418,35.5781,0.92117,61.4
48,67872,3.343e-05,0.017371,35.5865,0.92228,61.3
49,69286,2.865e-05,0.017310,35.5599,0.92252,61.6
50,70700,2.420e-05,0.017369,35.5829,0.92233,61.6
51,72114,2.010e-05,0.017294,35.6228,0.92142,61.1
52,73528,1.635e-05,0.017283,35.6210,0.92170,61.3
53,74942,1.297e-05,0.017264,35.6064,0.92255,60.9
54,76356,9.963e-06,0.017274,35.6384,0.92164,60.8
55,77770,7.342e-06,0.017300,35.6340,0.92169,60.9
56,79184,5.111e-06,0.017264,35.6400,0.92211,60.7
57,80598,3.278e-06,0.017258,35.6383,0.92241,60.9
58,82012,1.847e-06,0.017236,35.6382,0.92238,60.9
59,83426,8.217e-07,0.017245,35.6393,0.92231,60.9
60,84840,2.056e-07,0.017239,35.6394,0.92235,60.8
