epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,1414,3.000e-04,0.037470,27.4160,0.70565,1069.3
2,2828,2.998e-04,0.037237,27.5742,0.70674,1066.3
3,4242,2.992e-04,0.036756,27.4062,0.70991,1066.9
4,5656,2.982e-04,0.036524,27.4409,0.71314,1063.9
5,7070,2.967e-04,0.036281,27.5441,0.71361,1065.7
6,8484,2.949e-04,0.036145,27.6795,0.71677,1064.8
7,9898,2.927e-04,0.035878,27.7420,0.71700,1065.3
8,11312,2.900e-04,0.035863,27.7609,0.71778,1067.6
9,12726,2.870e-04,0.035665,27.6553,0.71991,1064.3
10,14140,2.837e-04,0.035579,27.8431,0.72170,1067.5
11,15554,2.799e-04,0.035489,27.8205,0.72276,1066.1
12,16968,2.758e-04,0.035434,27.7727,0.72433,1064.3
13,18382,2.714e-04,0.035358,27.9019,0.72373,1065.0
14,19796,2.666e-04,0.035253,27.8455,0.72386,1066.4
15,21210,2.615e-04,0.035205,27.8596,0.72389,1067.4
16,22624,2.561e-04,0.035162,27.9392,0.72360,1066.6
17,24038,2.504e-04,0.035132,27.8330,0.72613,1066.0
18,25452,2.444e-04,0.035092,27.8779,0.72617,1067.7
19,26866,2.382e-04,0.035072,27.8440,0.72681,1068.6
20,28280,2.317e-04,0.035019,27.8715,0.72798,1067.4
21,29694,2.250e-04,0.035003,27.9236,0.72682,1066.3
22,31108,2.181e-04,0.034943,27.9617,0.72759,1067.8
23,32522,2.110e-04,0.034894,27.9651,0.72678,1066.7
24,33936,2.038e-04,0.034866,27.9688,0.72976,1067.0
25,35350,1.964e-04,0.034870,27.9503,0.72884,1066.8
26,36764,1.888e-04,0.034806,27.9715,0.72932,1066.0
27,38178,1.812e-04,0.034736,27.9879,0.73025,1067.3
28,39592,1.735e-04,0.034771,27.9855,0.72999,1066.0
29,41006,1.657e-04,0.034723,27.9587,0.72934,1068.7
30,42420,1.579e-04,0.034707,27.9774,0.72874,1068.4
31,43834,1.500e-04,0.034701,27.9789,0.73074,1068.4
32,45248,1.421e-04,0.034658,27.9779,0.73118,1068.9
33,46662,1.343e-04,0.034654,28.0278,0.73058,1070.4
34,48076,1.265e-04,0.034658,28.0468,0.73132,1071.9
35,49490,1.188e-04,0.034646,28.0130,0.73090,1072.3
36,50904,1.112e-04,0.034627,28.0262,0.73251,1069.3
37,52318,1.036e-04,0.034547,28.0756,0.73245,1067.0
38,53732,9.624e-05,0.034528,28.0519,0.73173,1066.1
39,55146,8.899e-05,0.034486,28.0540,0.73232,1068.6
40,56560,8.190e-05,0.034525,28.0463,0.73192,1068.5
41,57974,7.500e-05,0.034368,28.0451,0.73239,1066.5
42,59388,6.830e-05,0.034454,28.0477,0.73314,1068.1
43,60802,6.183e-05,0.034460,28.0814,0.73294,1070.4
44,62216,5.560e-05,0.034413,28.1204,0.73284,1070.6
45,63630,4.963e-05,0.034364,28.0741,0.73358,1065.5
46,65044,4.393e-05,0.034386,28.0800,0.73282,1067.9
47,66458,3.853e-05,0.034404,28.0942,0.73352,1069.5
48,67872,3.343e-05,0.034298,28.1116,0.73339,1067.2
49,69286,2.865e-05,0.034447,28.1349,0.73332,1068.6
50,70700,2.420e-05,0.034346,28.1218,0.73358,1065.7
51,72114,2.010e-05,0.034289,28.1128,0.73367,1065.9
52,73528,1.635e-05,0.034278,28.1352,0.73389,1066.1
53,74942,1.297e-05,0.034310,28.1298,0.73387,1066.1
54,76356,9.963e-06,0.034297,28.1354,0.73425,1069.1
55,77770,7.342e-06,0.034292,28.1349,0.73387,1067.1
56,79184,5.111e-06,0.034225,28.1441,0.73404,1068.0
57,80598,3.278e-06,0.034284,28.1433,0.73414,1064.8
58,82012,1.847e-06,0.034333,28.1460,0.73418,1067.6
59,83426,8.217e-07,0.034273,28.1411,0.73418,1065.8
60,84840,2.056e-07,0.034300,28.1413,0.73417,1058.7
