epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,1414,3.000e-04,0.038209,27.5433,0.69903,1060.6
2,2828,2.998e-04,0.037527,27.6146,0.70399,1054.6
3,4242,2.992e-04,0.037290,27.7574,0.70145,1057.7
4,5656,2.982e-04,0.037055,27.7637,0.70535,1061.2
5,7070,2.967e-04,0.037044,27.7991,0.70492,1063.2
6,8484,2.949e-04,0.036916,27.8158,0.70599,1059.2
7,9898,2.927e-04,0.036793,27.7325,0.70778,1061.4
8,11312,2.900e-04,0.036778,27.7872,0.70813,1060.5
9,12726,2.870e-04,0.036720,27.8786,0.70655,1057.1
10,14140,2.837e-04,0.036627,27.7713,0.70866,1059.6
11,15554,2.799e-04,0.036635,27.8551,0.70770,1059.1
12,16968,2.758e-04,0.036601,27.9297,0.70808,1056.4
13,18382,2.714e-04,0.036551,27.8347,0.70889,1060.6
14,19796,2.666e-04,0.036512,27.9511,0.70909,1058.6
15,21210,2.615e-04,0.036469,27.9000,0.70924,1058.5
16,22624,2.561e-04,0.036435,27.8938,0.70937,1060.2
17,24038,2.504e-04,0.036373,27.8364,0.70963,1058.4
18,25452,2.444e-04,0.036410,27.9029,0.71075,1061.2
19,26866,2.382e-04,0.036402,27.9279,0.71153,1060.7
20,28280,2.317e-04,0.036399,27.9232,0.71082,1061.5
21,29694,2.250e-04,0.036253,27.9427,0.71004,1062.1
22,31108,2.181e-04,0.036335,27.9171,0.71183,1065.3
23,32522,2.110e-04,0.036292,27.9302,0.70999,1061.7
24,33936,2.038e-04,0.036223,27.9179,0.71150,1060.4
25,35350,1.964e-04,0.036178,27.9843,0.71093,1061.1
26,36764,1.888e-04,0.036227,27.9553,0.70996,1061.4
27,38178,1.812e-04,0.036196,27.9757,0.71083,1059.5
28,39592,1.735e-04,0.036189,27.9416,0.71157,1062.1
29,41006,1.657e-04,0.036249,27.9287,0.71126,1064.6
30,42420,1.579e-04,0.036106,27.9529,0.71087,1060.8
31,43834,1.500e-04,0.036153,28.0136,0.71148,1062.2
32,45248,1.421e-04,0.036181,28.0205,0.71223,1063.1
33,46662,1.343e-04,0.036085,27.9834,0.71262,1060.8
34,48076,1.265e-04,0.036097,27.9720,0.71163,1059.9
35,49490,1.188e-04,0.036070,27.9336,0.71215,1062.9
36,50904,1.112e-04,0.036087,28.0102,0.71287,1063.2
37,52318,1.036e-04,0.036059,28.0107,0.71278,1058.6
38,53732,9.624e-05,0.035989,27.9901,0.71259,1059.1
39,55146,8.899e-05,0.036048,27.9695,0.71226,1064.2
40,56560,8.190e-05,0.035993,28.0408,0.71348,1062.2
41,57974,7.500e-05,0.035959,28.0127,0.71321,1062.8
42,59388,6.830e-05,0.035987,28.0434,0.71292,1060.5
43,60802,6.183e-05,0.035961,28.0150,0.71291,1060.4
44,62216,5.560e-05,0.035961,28.0366,0.71389,1061.0
45,63630,4.963e-05,0.035898,28.0302,0.71344,1061.5
46,65044,4.393e-05,0.035947,28.0244,0.71406,1061.1
47,66458,3.853e-05,0.035961,28.0403,0.71360,1058.1
48,67872,3.343e-05,0.035888,28.0552,0.71383,1062.6
49,69286,2.865e-05,0.035976,28.0541,0.71354,1062.3
50,70700,2.420e-05,0.035913,28.0803,0.71346,1060.2
51,72114,2.010e-05,0.035901,28.0412,0.71396,1062.6
52,73528,1.635e-05,0.035958,28.0508,0.71394,1060.3
53,74942,1.297e-05,0.035902,28.0571,0.71373,1058.1
54,76356,9.963e-06,0.035907,28.0532,0.71373,1059.8
55,77770,7.342e-06,0.035854,28.0565,0.71379,1063.7
56,79184,5.111e-06,0.035861,28.0625,0.71390,1061.5
57,80598,3.278e-06,0.035914,28.0653,0.71393,1059.3
58,82012,1.847e-06,0.035881,28.0634,0.71392,1064.2
59,83426,8.217e-07,0.035892,28.0599,0.71391,1057.8
60,84840,2.056e-07,0.035896,28.0616,0.71391,1059.9
