epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,1414,3.000e-04,0.027851,31.5234,0.82440,62.0
2,2828,2.998e-04,0.025045,32.1370,0.83322,61.7
3,4242,2.992e-04,0.024170,32.1385,0.84776,62.0
4,5656,2.982e-04,0.023516,32.5439,0.85195,61.9
5,7070,2.967e-04,0.023066,32.7323,0.84550,61.7
6,8484,2.949e-04,0.022802,32.9366,0.86049,61.5
7,9898,2.927e-04,0.022520,32.9719,0.86113,61.4
8,11312,2.900e-04,0.022337,32.9961,0.85512,61.5
9,12726,2.870e-04,0.022140,33.3376,0.86429,61.6
10,14140,2.837e-04,0.021849,33.1392,0.86545,61.1
11,15554,2.799e-04,0.021767,33.4941,0.87106,61.3
12,16968,2.758e-04,0.021626,33.5529,0.86700,61.7
13,18382,2.714e-04,0.021472,33.5672,0.87107,61.8
14,19796,2.666e-04,0.021304,33.5830,0.87385,61.7
15,21210,2.615e-04,0.021170,33.3834,0.87384,61.4
16,22624,2.561e-04,0.020975,33.8024,0.87463,61.4
17,24038,2.504e-04,0.020980,33.8163,0.87343,61.5
18,25452,2.444e-04,0.020880,33.9306,0.87903,61.5
19,26866,2.382e-04,0.020738,33.9739,0.87772,61.3
20,28280,2.317e-04,0.020655,34.0120,0.87735,61.4
21,29694,2.250e-04,0.020602,34.0554,0.87653,61.3
22,31108,2.181e-04,0.020461,33.7000,0.88209,61.4
23,32522,2.110e-04,0.020339,33.8646,0.88298,61.2
24,33936,2.038e-04,0.020287,33.9536,0.88154,61.4
25,35350,1.964e-04,0.020258,34.1606,0.88085,61.2
26,36764,1.888e-04,0.020186,34.1177,0.87324,61.2
27,38178,1.812e-04,0.020196,34.2028,0.88042,61.1
28,39592,1.735e-04,0.020040,34.2688,0.88244,61.0
29,41006,1.657e-04,0.020077,34.3508,0.88298,61.1
30,42420,1.579e-04,0.019924,34.3759,0.88003,61.2
31,43834,1.500e-04,0.019840,34.3121,0.88317,61.1
32,45248,1.421e-04,0.019847,34.3956,0.88327,61.2
33,46662,1.343e-04,0.019703,34.4647,0.88658,61.4
34,48076,1.265e-04,0.019697,34.4729,0.88463,61.3
35,49490,1.188e-04,0.019630,34.5198,0.88502,61.1
36,50904,1.112e-04,0.019686,34.4708,0.88399,61.2
37,52318,1.036e-04,0.019590,34.2692,0.88968,61.1
38,53732,9.624e-05,0.019509,34.5137,0.88825,61.2
39,55146,8.899e-05,0.019531,34.5024,0.88912,61.3
40,56560,8.190e-05,0.019447,34.6161,0.88567,61.5
41,57974,7.500e-05,0.019411,34.3049,0.88997,61.5
42,59388,6.830e-05,0.019274,34.5559,0.88914,61.3
43,60802,6.183e-05,0.019301,34.6708,0.88755,61.1
44,62216,5.560e-05,0.019310,34.6311,0.88926,61.3
45,63630,4.963e-05,0.019230,34.6141,0.89024,61.4
46,65044,4.393e-05,0.019224,34.6555,0.89041,61.4
47,66458,3.853e-05,0.019196,34.6712,0.88973,61.7
48,67872,3.343e-05,0.019100,34.7237,0.88955,61.6
49,69286,2.865e-05,0.019117,34.7386,0.88882,61.5
50,70700,2.420e-05,0.019101,34.7227,0.89023,61.3
51,72114,2.010e-05,0.019072,34.7624,0.88880,61.2
52,73528,1.635e-05,0.019119,34.7499,0.88943,61.3
53,74942,1.297e-05,0.019059,34.7569,0.88930,61.4
54,76356,9.963e-06,0.019050,34.7776,0.88919,61.2
55,77770,7.342e-06,0.018995,34.7799,0.89017,61.4
56,79184,5.111e-06,0.019051,34.7983,0.89012,61.7
57,80598,3.278e-06,0.019070,34.7853,0.89059,61.5
58,82012,1.847e-06,0.019078,34.7886,0.89013,61.3
59,83426,8.217e-07,0.019016,34.7875,0.89037,61.4
60,84840,2.056e-07,0.018947,34.7889,0.89035,61.6
