epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,1414,3.000e-04,0.037337,27.8710,0.71044,1071.1
2,2828,2.998e-04,0.036994,27.9662,0.71279,1065.7
3,4242,2.992e-04,0.036654,27.9166,0.71669,1064.9
4,5656,2.982e-04,0.036346,28.1827,0.71638,1063.5
5,7070,2.967e-04,0.036076,28.1399,0.71904,1063.3
6,8484,2.949e-04,0.036011,28.1344,0.72159,1065.1
7,9898,2.927e-04,0.035804,28.1946,0.72285,1064.6
8,11312,2.900e-04,0.035740,28.2041,0.72562,1063.7
9,12726,2.870e-04,0.035634,28.2230,0.72699,1066.4
10,14140,2.837e-04,0.035442,28.1316,0.72590,1064.0
11,15554,2.799e-04,0.035437,28.2628,0.72806,1063.5
12,16968,2.758e-04,0.035397,28.2922,0.72694,1066.2
13,18382,2.714e-04,0.035339,28.1980,0.72742,1063.8
14,19796,2.666e-04,0.035237,28.2177,0.72769,1065.1
15,21210,2.615e-04,0.035119,28.3018,0.72994,1065.1
16,22624,2.561e-04,0.035088,28.2659,0.72992,1063.9
17,24038,2.504e-04,0.035050,28.3601,0.72971,1065.3
18,25452,2.444e-04,0.035056,28.3438,0.72992,1064.8
19,26866,2.382e-04,0.034995,28.2630,0.73077,1065.6
20,28280,2.317e-04,0.034992,28.4056,0.73001,1064.5
21,29694,2.250e-04,0.034955,28.3561,0.73326,1064.9
22,31108,2.181e-04,0.034861,28.3061,0.73253,1062.6
23,32522,2.110e-04,0.034781,28.3641,0.73285,1064.5
24,33936,2.038e-04,0.034746,28.2986,0.73192,1064.5
25,35350,1.964e-04,0.034745,28.3848,0.73300,1064.2
26,36764,1.888e-04,0.034702,28.3959,0.73361,1065.4
27,38178,1.812e-04,0.034727,28.3881,0.73242,1065.3
28,39592,1.735e-04,0.034645,28.4695,0.73251,1064.3
29,41006,1.657e-04,0.034680,28.4222,0.73426,1065.7
30,42420,1.579e-04,0.034517,28.4340,0.73376,1068.7
31,43834,1.500e-04,0.034557,28.4409,0.73407,1066.8
32,45248,1.421e-04,0.034554,28.4504,0.73454,1067.9
33,46662,1.343e-04,0.034486,28.4658,0.73447,1065.9
34,48076,1.265e-04,0.034476,28.4696,0.73425,1067.3
35,49490,1.188e-04,0.034452,28.4513,0.73581,1066.3
36,50904,1.112e-04,0.034512,28.4383,0.73502,1066.6
37,52318,1.036e-04,0.034437,28.4309,0.73609,1065.5
38,53732,9.624e-05,0.034396,28.4902,0.73556,1064.9
39,55146,8.899e-05,0.034416,28.4311,0.73587,1063.5
40,56560,8.190e-05,0.034378,28.5208,0.73496,1065.7
41,57974,7.500e-05,0.034373,28.4758,0.73606,1069.0
42,59388,6.830e-05,0.034274,28.4982,0.73711,1066.4
43,60802,6.183e-05,0.034283,28.5160,0.73621,1069.0
44,62216,5.560e-05,0.034336,28.5282,0.73688,1067.0
45,63630,4.963e-05,0.034298,28.5143,0.73726,1065.7
46,65044,4.393e-05,0.034271,28.5188,0.73713,1070.3
47,66458,3.853e-05,0.034283,28.5270,0.73751,1069.4
48,67872,3.343e-05,0.034201,28.5175,0.73734,1066.0
49,69286,2.865e-05,0.034196,28.5141,0.73708,1065.0
50,70700,2.420e-05,0.034203,28.5401,0.73737,1064.8
51,72114,2.010e-05,0.034164,28.5352,0.73752,1065.4
52,73528,1.635e-05,0.034237,28.5394,0.73782,1067.2
53,74942,1.297e-05,0.034154,28.5126,0.73761,1064.9
54,76356,9.963e-06,0.034154,28.5459,0.73778,1065.6
55,77770,7.342e-06,0.034117,28.5457,0.73779,1065.6
56,79184,5.111e-06,0.034152,28.5458,0.73790,1064.4
57,80598,3.278e-06,0.034180,28.5473,0.73792,1065.9
58,82012,1.847e-06,0.034184,28.5519,0.73792,1066.5
59,83426,8.217e-07,0.034168,28.5531,0.73790,1064.6
60,84840,2.056e-07,0.034101,28.5512,0.73792,1059.6
