epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,1414,3.000e-04,0.023539,32.9342,0.87604,62.2
2,2828,2.998e-04,0.021358,33.3077,0.88482,61.8
3,4242,2.992e-04,0.020591,33.4860,0.89350,61.6
4,5656,2.982e-04,0.020133,33.7667,0.89672,61.7
5,7070,2.967e-04,0.019758,33.7382,0.89132,61.6
6,8484,2.949e-04,0.019581,34.0736,0.90032,61.6
7,9898,2.927e-04,0.019316,33.9075,0.90595,61.6
8,11312,2.900e-04,0.019165,34.1428,0.90045,61.8
9,12726,2.870e-04,0.019026,34.1858,0.90556,62.0
10,14140,2.837e-04,0.018780,34.1713,0.90725,61.9
11,15554,2.799e-04,0.018740,34.2887,0.90985,61.8
12,16968,2.758e-04,0.018652,34.3941,0.90692,61.6
13,18382,2.714e-04,0.018614,34.3932,0.91058,61.7
14,19796,2.666e-04,0.018527,34.4516,0.90924,61.5
15,21210,2.615e-04,0.018369,34.2911,0.91358,61.4
16,22624,2.561e-04,0.018303,34.5563,0.91189,61.4
17,24038,2.504e-04,0.018288,34.6022,0.91206,61.4
18,25452,2.444e-04,0.018235,34.5063,0.91317,61.5
19,26866,2.382e-04,0.018154,34.4599,0.91219,61.6
20,28280,2.317e-04,0.018068,34.6526,0.91318,61.6
21,29694,2.250e-04,0.018008,34.6206,0.91629,61.5
22,31108,2.181e-04,0.017975,34.7173,0.91434,61.5
23,32522,2.110e-04,0.017944,34.5902,0.91710,61.8
24,33936,2.038e-04,0.017867,34.6062,0.91730,61.8
25,35350,1.964e-04,0.017848,34.7795,0.91563,61.7
26,36764,1.888e-04,0.017791,34.8046,0.91455,61.5
27,38178,1.812e-04,0.017767,34.7264,0.91540,61.9
28,39592,1.735e-04,0.017714,34.8632,0.91552,61.8
29,41006,1.657e-04,0.017739,34.8324,0.91541,61.3
30,42420,1.579e-04,0.017628,34.9254,0.91389,61.3
31,43834,1.500e-04,0.017602,34.8063,0.91768,61.4
32,45248,1.421e-04,0.017586,34.9260,0.91818,61.4
33,46662,1.343e-04,0.017540,34.9707,0.91619,61.5
34,48076,1.265e-04,0.017491,34.9674,0.91862,61.5
35,49490,1.188e-04,0.017488,34.9927,0.91729,61.4
36,50904,1.112e-04,0.017505,34.9050,0.91763,61.4
37,52318,1.036e-04,0.017439,34.9471,0.92070,61.5
38,53732,9.624e-05,0.017388,35.0196,0.92032,61.4
39,55146,8.899e-05,0.017390,34.9680,0.92147,61.4
40,56560,8.190e-05,0.017349,35.0513,0.91827,61.8
41,57974,7.500e-05,0.017333,34.8756,0.92139,61.3
42,59388,6.830e-05,0.017249,35.0516,0.92104,61.6
43,60802,6.183e-05,0.017277,35.0750,0.91985,61.3
44,62216,5.560e-05,0.017269,35.0604,0.92055,61.5
45,63630,4.963e-05,0.017211,35.0807,0.92140,61.8
46,65044,4.393e-05,0.017249,35.0973,0.92157,61.4
47,66458,3.853e-05,0.017178,35.0423,0.92256,61.6
48,67872,3.343e-05,0.017155,35.1046,0.92123,61.7
49,69286,2.865e-05,0.017172,35.1528,0.92100,61.5
50,70700,2.420e-05,0.017145,35.1422,0.92114,61.6
51,72114,2.010e-05,0.017098,35.1550,0.92072,61.6
52,73528,1.635e-05,0.017140,35.1592,0.92082,61.7
53,74942,1.297e-05,0.017086,35.1737,0.92121,61.7
54,76356,9.963e-06,0.017124,35.1598,0.92202,61.6
55,77770,7.342e-06,0.017077,35.1762,0.92127,61.1
56,79184,5.111e-06,0.017125,35.1717,0.92150,61.0
57,80598,3.278e-06,0.017086,35.1719,0.92190,61.0
58,82012,1.847e-06,0.017119,35.1703,0.92181,60.9
59,83426,8.217e-07,0.017074,35.1754,0.92185,60.9
60,84840,2.056e-07,0.017028,35.1750,0.92191,61.1
