epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,1414,3.000e-04,0.020927,34.2237,0.90220,63.7
2,2828,2.998e-04,0.019693,34.3491,0.90631,62.9
3,4242,2.992e-04,0.019485,34.4250,0.90775,63.0
4,5656,2.982e-04,0.019289,34.6864,0.90651,62.9
5,7070,2.967e-04,0.019146,34.5839,0.90964,63.5
6,8484,2.949e-04,0.019080,34.8624,0.90956,63.0
7,9898,2.927e-04,0.018996,34.6997,0.91005,62.5
8,11312,2.900e-04,0.018957,34.7869,0.91108,62.4
9,12726,2.870e-04,0.018885,34.8506,0.90901,61.8
10,14140,2.837e-04,0.018810,34.8653,0.91169,61.4
11,15554,2.799e-04,0.018738,34.9476,0.91192,61.1
12,16968,2.758e-04,0.018672,34.9145,0.91132,61.2
13,18382,2.714e-04,0.018569,35.0273,0.91384,61.3
14,19796,2.666e-04,0.018611,34.8754,0.91198,61.4
15,21210,2.615e-04,0.018579,35.0207,0.91343,60.9
16,22624,2.561e-04,0.018554,34.9274,0.91431,61.8
17,24038,2.504e-04,0.018487,34.9564,0.91410,62.0
18,25452,2.444e-04,0.018432,35.1700,0.91271,62.0
19,26866,2.382e-04,0.018413,35.1006,0.91555,61.9
20,28280,2.317e-04,0.018387,35.2392,0.91233,61.8
21,29694,2.250e-04,0.018315,35.0980,0.91517,61.9
22,31108,2.181e-04,0.018343,35.2490,0.91445,61.6
23,32522,2.110e-04,0.018316,35.2580,0.91497,61.9
24,33936,2.038e-04,0.018288,35.3122,0.91507,61.8
25,35350,1.964e-04,0.018196,35.1793,0.91608,61.8
26,36764,1.888e-04,0.018200,35.2806,0.91690,62.1
27,38178,1.812e-04,0.018213,35.2872,0.91598,61.7
28,39592,1.735e-04,0.018109,35.3520,0.91646,61.9
29,41006,1.657e-04,0.018133,35.3305,0.91647,62.1
30,42420,1.579e-04,0.018122,35.1926,0.91734,62.3
31,43834,1.500e-04,0.018061,35.2903,0.91726,62.1
32,45248,1.421e-04,0.018064,35.4089,0.91689,61.9
33,46662,1.343e-04,0.018025,35.4051,0.91509,61.7
34,48076,1.265e-04,0.017889,35.4333,0.91745,61.3
35,49490,1.188e-04,0.017866,35.4146,0.91903,61.4
36,50904,1.112e-04,0.017907,35.4308,0.91889,61.6
37,52318,1.036e-04,0.017792,35.5087,0.92001,61.6
38,53732,9.624e-05,0.017708,35.5108,0.91963,61.1
39,55146,8.899e-05,0.017671,35.5356,0.92042,61.4
40,56560,8.190e-05,0.017699,35.5965,0.91971,61.5
41,57974,7.500e-05,0.017637,35.5232,0.92041,61.2
42,59388,6.830e-05,0.017591,35.5316,0.92217,61.5
43,60802,6.183e-05,0.017621,35.5087,0.92147,61.5
44,62216,5.560e-05,0.017515,35.5385,0.92172,61.4
45,63630,4.963e-05,0.017623,35.5527,0.92230,61.2
46,65044,4.393e-05,0.017552,35.6306,0.92274,61.2
47,66458,3.853e-05,0.017496,35.6564,0.92166,61.1
48,67872,3.343e-05,0.017467,35.6548,0.92314,61.3
49,69286,2.865e-05,0.017430,35.6743,0.92299,61.0
50,70700,2.420e-05,0.017390,35.6481,0.92339,61.1
51,72114,2.010e-05,0.017317,35.6880,0.92320,61.1
52,73528,1.635e-05,0.017337,35.6608,0.92359,61.1
53,74942,1.297e-05,0.017301,35.6919,0.92399,61.2
54,76356,9.963e-06,0.017291,35.6970,0.92382,61.3
55,77770,7.342e-06,0.017408,35.7096,0.92365,61.3
56,79184,5.111e-06,0.017285,35.7010,0.92402,61.7
57,80598,3.278e-06,0.017252,35.7177,0.92390,61.9
58,82012,1.847e-06,0.017278,35.7041,0.92423,61.5
59,83426,8.217e-07,0.017326,35.7094,0.92412,61.8
60,84840,2.056e-07,0.017293,35.7092,0.92414,61.4
