epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,1414,3.000e-04,0.023053,32.9401,0.87621,62.4
2,2828,2.998e-04,0.021917,33.1558,0.88116,61.9
3,4242,2.992e-04,0.021516,33.2982,0.88162,61.7
4,5656,2.982e-04,0.021371,33.2393,0.88020,61.7
5,7070,2.967e-04,0.021253,33.3702,0.88382,62.1
6,8484,2.949e-04,0.021248,33.2456,0.88569,62.1
7,9898,2.927e-04,0.021093,33.4820,0.88623,61.9
8,11312,2.900e-04,0.020900,33.4616,0.88485,62.3
9,12726,2.870e-04,0.020867,33.5534,0.88809,61.8
10,14140,2.837e-04,0.020708,33.6001,0.88661,62.0
11,15554,2.799e-04,0.020693,33.4678,0.88871,62.0
12,16968,2.758e-04,0.020694,33.7161,0.88907,62.0
13,18382,2.714e-04,0.020537,33.6762,0.88972,61.9
14,19796,2.666e-04,0.020592,33.6578,0.88702,62.3
15,21210,2.615e-04,0.020462,33.8088,0.88990,62.1
16,22624,2.561e-04,0.020335,33.6424,0.89180,61.9
17,24038,2.504e-04,0.020344,33.8077,0.88777,62.5
18,25452,2.444e-04,0.020394,33.8443,0.89043,62.7
19,26866,2.382e-04,0.020261,33.7267,0.89198,62.4
20,28280,2.317e-04,0.020286,33.9390,0.88946,62.4
21,29694,2.250e-04,0.020311,33.7899,0.88614,62.1
22,31108,2.181e-04,0.020167,33.8807,0.89270,62.1
23,32522,2.110e-04,0.020014,33.8988,0.89333,62.2
24,33936,2.038e-04,0.020065,33.9431,0.89347,62.3
25,35350,1.964e-04,0.020059,34.0225,0.89121,62.2
26,36764,1.888e-04,0.019986,34.0912,0.89128,62.2
27,38178,1.812e-04,0.019982,34.0250,0.89395,62.1
28,39592,1.735e-04,0.019961,34.0625,0.89546,62.4
29,41006,1.657e-04,0.019951,34.0933,0.89385,61.9
30,42420,1.579e-04,0.019897,34.0628,0.89512,61.9
31,43834,1.500e-04,0.019874,34.0681,0.89321,62.3
32,45248,1.421e-04,0.019816,34.0896,0.89568,62.1
33,46662,1.343e-04,0.019795,34.0682,0.89625,62.0
34,48076,1.265e-04,0.019782,34.1158,0.89530,61.7
35,49490,1.188e-04,0.019649,34.1929,0.89511,62.0
36,50904,1.112e-04,0.019850,34.1554,0.89598,61.8
37,52318,1.036e-04,0.019724,34.1783,0.89694,61.8
38,53732,9.624e-05,0.019666,34.2077,0.89606,62.0
39,55146,8.899e-05,0.019720,34.1526,0.89733,61.8
40,56560,8.190e-05,0.019615,34.2446,0.89547,61.9
41,57974,7.500e-05,0.019584,34.2148,0.89829,61.9
42,59388,6.830e-05,0.019524,34.2693,0.89755,61.7
43,60802,6.183e-05,0.019527,34.2850,0.89512,62.0
44,62216,5.560e-05,0.019563,34.2312,0.89859,62.2
45,63630,4.963e-05,0.019552,34.2569,0.89786,62.1
46,65044,4.393e-05,0.019457,34.2791,0.89920,62.0
47,66458,3.853e-05,0.019433,34.2666,0.89944,62.2
48,67872,3.343e-05,0.019343,34.2638,0.89935,62.1
49,69286,2.865e-05,0.019362,34.2792,0.90010,62.1
50,70700,2.420e-05,0.019397,34.3452,0.89893,62.2
51,72114,2.010e-05,0.019323,34.3437,0.89918,62.6
52,73528,1.635e-05,0.019380,34.3275,0.89917,62.3
53,74942,1.297e-05,0.019313,34.3347,0.89968,62.0
54,76356,9.963e-06,0.019358,34.3488,0.89927,61.8
55,77770,7.342e-06,0.019311,34.3520,0.89935,61.8
56,79184,5.111e-06,0.019372,34.3461,0.89974,61.9
57,80598,3.278e-06,0.019375,34.3468,0.90015,61.7
58,82012,1.847e-06,0.019346,34.3593,0.89988,61.5
59,83426,8.217e-07,0.019344,34.3568,0.89998,61.6
60,84840,2.056e-07,0.019215,34.3542,0.89999,61.9
