epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,1414,3.000e-04,0.037460,28.0018,0.70584,1070.0
2,2828,2.998e-04,0.037114,27.9998,0.70900,1073.1
3,4242,2.992e-04,0.036795,28.1697,0.71027,1068.0
4,5656,2.982e-04,0.036452,28.1134,0.71182,1068.7
5,7070,2.967e-04,0.036343,28.2122,0.71482,1069.3
6,8484,2.949e-04,0.036096,28.1525,0.71734,1068.3
7,9898,2.927e-04,0.035884,28.1188,0.71659,1068.1
8,11312,2.900e-04,0.035774,28.2174,0.72027,1069.8
9,12726,2.870e-04,0.035682,28.1997,0.71942,1070.6
10,14140,2.837e-04,0.035546,28.2733,0.72129,1069.0
11,15554,2.799e-04,0.035518,28.2706,0.72126,1066.1
12,16968,2.758e-04,0.035442,28.3564,0.72172,1066.8
13,18382,2.714e-04,0.035367,28.3215,0.72340,1067.3
14,19796,2.666e-04,0.035295,28.3824,0.72286,1069.8
15,21210,2.615e-04,0.035240,28.3348,0.72440,1069.0
16,22624,2.561e-04,0.035197,28.3531,0.72429,1071.4
17,24038,2.504e-04,0.035108,28.3680,0.72485,1072.3
18,25452,2.444e-04,0.035110,28.2655,0.72731,1071.9
19,26866,2.382e-04,0.035100,28.3948,0.72677,1069.9
20,28280,2.317e-04,0.035078,28.3947,0.72680,1069.3
21,29694,2.250e-04,0.034918,28.4472,0.72566,1070.5
22,31108,2.181e-04,0.034989,28.3287,0.72868,1070.7
23,32522,2.110e-04,0.034937,28.3788,0.72705,1069.4
24,33936,2.038e-04,0.034848,28.3988,0.72873,1069.8
25,35350,1.964e-04,0.034782,28.4654,0.72779,1070.3
26,36764,1.888e-04,0.034834,28.4830,0.72864,1070.0
27,38178,1.812e-04,0.034781,28.5305,0.72620,1070.4
28,39592,1.735e-04,0.034789,28.4995,0.72903,1071.0
29,41006,1.657e-04,0.034818,28.4736,0.72843,1071.8
30,42420,1.579e-04,0.034647,28.5501,0.72904,1071.9
31,43834,1.500e-04,0.034697,28.4948,0.72914,1073.9
32,45248,1.421e-04,0.034718,28.5517,0.73016,1072.3
33,46662,1.343e-04,0.034620,28.5605,0.73057,1072.6
34,48076,1.265e-04,0.034625,28.5429,0.73053,1071.5
35,49490,1.188e-04,0.034585,28.5444,0.72928,1073.0
36,50904,1.112e-04,0.034590,28.5589,0.73056,1074.4
37,52318,1.036e-04,0.034565,28.5558,0.73031,1073.0
38,53732,9.624e-05,0.034486,28.4672,0.73076,1073.3
39,55146,8.899e-05,0.034520,28.5517,0.73108,1073.6
40,56560,8.190e-05,0.034471,28.5492,0.73205,1072.1
41,57974,7.500e-05,0.034425,28.4738,0.73203,1073.5
42,59388,6.830e-05,0.034440,28.5535,0.73190,1072.0
43,60802,6.183e-05,0.034410,28.5262,0.73123,1070.7
44,62216,5.560e-05,0.034411,28.5162,0.73179,1072.6
45,63630,4.963e-05,0.034336,28.5779,0.73232,1072.4
46,65044,4.393e-05,0.034375,28.5765,0.73289,1072.7
47,66458,3.853e-05,0.034396,28.5754,0.73237,1070.3
48,67872,3.343e-05,0.034301,28.5947,0.73236,1071.7
49,69286,2.865e-05,0.034387,28.5775,0.73215,1069.1
50,70700,2.420e-05,0.034334,28.6258,0.73214,1070.6
51,72114,2.010e-05,0.034311,28.6083,0.73303,1071.0
52,73528,1.635e-05,0.034364,28.6148,0.73297,1070.1
53,74942,1.297e-05,0.034307,28.6195,0.73316,1070.3
54,76356,9.963e-06,0.034314,28.6079,0.73290,1070.8
55,77770,7.342e-06,0.034235,28.6208,0.73310,1071.4
56,79184,5.111e-06,0.034250,28.6376,0.73292,1070.4
57,80598,3.278e-06,0.034304,28.6276,0.73314,1070.3
58,82012,1.847e-06,0.034270,28.6287,0.73311,1071.4
59,83426,8.217e-07,0.034270,28.6287,0.73313,1072.7
60,84840,2.056e-07,0.034292,28.6319,0.73312,1057.3
