epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,1414,3.000e-04,0.023874,32.6680,0.86147,61.5
2,2828,2.998e-04,0.021444,33.0785,0.87923,61.1
3,4242,2.992e-04,0.020627,33.5484,0.87898,60.8
4,5656,2.982e-04,0.020096,33.7326,0.88546,61.2
5,7070,2.967e-04,0.019815,33.6574,0.89086,61.3
6,8484,2.949e-04,0.019518,33.8364,0.89705,61.0
7,9898,2.927e-04,0.019250,33.9667,0.90125,60.9
8,11312,2.900e-04,0.019155,34.1673,0.89875,61.2
9,12726,2.870e-04,0.019038,34.2096,0.90118,60.6
10,14140,2.837e-04,0.018845,34.0668,0.89430,60.6
11,15554,2.799e-04,0.018740,34.2254,0.90590,60.6
12,16968,2.758e-04,0.018618,34.3232,0.90197,60.8
13,18382,2.714e-04,0.018561,34.4367,0.90341,60.9
14,19796,2.666e-04,0.018506,34.4560,0.90666,61.0
15,21210,2.615e-04,0.018398,34.4567,0.90235,61.1
16,22624,2.561e-04,0.018293,34.5103,0.90539,60.9
17,24038,2.504e-04,0.018255,34.3318,0.91100,61.2
18,25452,2.444e-04,0.018185,34.3385,0.91044,61.0
19,26866,2.382e-04,0.018157,34.5582,0.90403,61.1
20,28280,2.317e-04,0.018174,34.5979,0.90637,61.0
21,29694,2.250e-04,0.018073,34.6351,0.90988,60.8
22,31108,2.181e-04,0.018010,34.5873,0.91073,60.8
23,32522,2.110e-04,0.017981,34.5756,0.91258,61.0
24,33936,2.038e-04,0.017887,34.5579,0.91320,60.9
25,35350,1.964e-04,0.017825,34.6334,0.91383,61.0
26,36764,1.888e-04,0.017815,34.7062,0.91183,60.9
27,38178,1.812e-04,0.017781,34.6939,0.91407,61.1
28,39592,1.735e-04,0.017755,34.7927,0.91137,61.4
29,41006,1.657e-04,0.017737,34.8286,0.91219,61.1
30,42420,1.579e-04,0.017624,34.8404,0.91351,61.3
31,43834,1.500e-04,0.017596,34.8045,0.91288,61.2
32,45248,1.421e-04,0.017623,34.8113,0.91347,61.2
33,46662,1.343e-04,0.017542,34.8466,0.91483,60.8
34,48076,1.265e-04,0.017504,34.7338,0.91555,61.1
35,49490,1.188e-04,0.017504,34.9076,0.91456,60.9
36,50904,1.112e-04,0.017464,34.9070,0.91616,61.0
37,52318,1.036e-04,0.017447,34.8506,0.91634,60.7
38,53732,9.624e-05,0.017381,34.8808,0.91534,60.7
39,55146,8.899e-05,0.017375,34.9239,0.91590,60.9
40,56560,8.190e-05,0.017387,34.9642,0.91329,60.9
41,57974,7.500e-05,0.017317,34.9906,0.91369,60.9
42,59388,6.830e-05,0.017287,34.9454,0.91542,60.8
43,60802,6.183e-05,0.017256,34.9968,0.91663,61.0
44,62216,5.560e-05,0.017264,34.9481,0.91663,60.8
45,63630,4.963e-05,0.017258,35.0020,0.91423,60.7
46,65044,4.393e-05,0.017274,35.0246,0.91529,60.7
47,66458,3.853e-05,0.017245,34.9963,0.91741,61.0
48,67872,3.343e-05,0.017195,35.0006,0.91655,60.9
49,69286,2.865e-05,0.017207,35.0408,0.91622,60.9
50,70700,2.420e-05,0.017166,35.0656,0.91575,61.1
51,72114,2.010e-05,0.017125,35.0319,0.91723,60.9
52,73528,1.635e-05,0.017168,35.0753,0.91668,60.9
53,74942,1.297e-05,0.017102,35.0880,0.91644,60.9
54,76356,9.963e-06,0.017144,35.0636,0.91724,61.0
55,77770,7.342e-06,0.017081,35.0934,0.91698,61.2
56,79184,5.111e-06,0.017083,35.0912,0.91692,61.1
57,80598,3.278e-06,0.017148,35.0970,0.91702,61.0
58,82012,1.847e-06,0.017097,35.0974,0.91741,61.2
59,83426,8.217e-07,0.017078,35.0937,0.91734,60.7
60,84840,2.056e-07,0.017099,35.0974,0.91720,60.5
