replica,domain,column,strength,row,psnr_db,ssim,noop_db,gain_db,gain_ssim,reference_row,denominator_db,retained
1,synthetic,d0,1,noop,33.37652973927243,0.858833558988963,33.37652973927243,0.0,0.0,d0,6.486442432851298,0.0
1,synthetic,d0,1,d0,39.862972172123726,0.9740268749586294,33.37652973927243,6.486442432851298,0.11519331596966642,d0,6.486442432851298,1.0
1,synthetic,d0,1,d1,41.19825928128381,0.974948566894576,33.37652973927243,7.821729542011383,0.11611500790561302,d0,6.486442432851298,1.205858160768895
1,synthetic,d0,1,d15,36.76353375358761,0.9455570369483159,33.37652973927243,3.387004014315181,0.08672347795935298,d0,6.486442432851298,0.5221666652218061
1,synthetic,d0,1,d2,36.569647436365834,0.943438025343586,33.37652973927243,3.193117697093406,0.08460446635462304,d0,6.486442432851298,0.4922756549756014
1,synthetic,d0,1,d3,34.951849045731095,0.913896161323422,33.37652973927243,1.5753193064586668,0.05506260233445903,d0,6.486442432851298,0.24286337584378914
1,synthetic,d0,1,d3n,33.72889902285007,0.9002637112168639,33.37652973927243,0.3523692835776444,0.04143015222790092,d0,6.486442432851298,0.0543239668316536
1,synthetic,d0,2,noop,30.74033465031727,0.7632131291932903,30.74033465031727,0.0,0.0,d0,6.199722685478104,0.0
1,synthetic,d0,2,d0,36.94005733579537,0.9421406829916815,30.74033465031727,6.199722685478104,0.1789275537983912,d0,6.199722685478104,1.0
1,synthetic,d0,2,d1,37.22470543140537,0.9432897698431507,30.74033465031727,6.484370781088099,0.1800766406498604,d0,6.199722685478104,1.045913036768038
1,synthetic,d0,2,d15,32.7216660564942,0.8489852785364563,30.74033465031727,1.9813314061769312,0.08577214934316602,d0,6.199722685478104,0.31958387603656774
1,synthetic,d0,2,d2,32.799840090397936,0.8406926900078433,30.74033465031727,2.0595054400806667,0.07747956081455298,d0,6.199722685478104,0.3321931551720436
1,synthetic,d0,2,d3,31.651199636683216,0.8033068931368595,30.74033465031727,0.9108649863659473,0.04009376394356923,d0,6.199722685478104,0.1469202789504615
1,synthetic,d0,2,d3n,31.333604790056256,0.7981757279363036,30.74033465031727,0.593270139738987,0.03496259874301333,d0,6.199722685478104,0.09569301238725257
1,synthetic,d0,3,noop,29.136183076598833,0.6955022851010444,29.136183076598833,0.0,0.0,d0,5.2200354825946675,0.0
1,synthetic,d0,3,d0,34.3562185591935,0.892868321722662,29.136183076598833,5.2200354825946675,0.19736603662161756,d0,5.2200354825946675,1.0
1,synthetic,d0,3,d1,34.455940199659466,0.8925055768750083,29.136183076598833,5.319757123060633,0.19700329177396392,d0,5.2200354825946675,1.01910363268573
1,synthetic,d0,3,d15,31.025284395889496,0.7800503407047947,29.136183076598833,1.8891013192906634,0.08454805560375034,d0,5.2200354825946675,0.36189434450964075
1,synthetic,d0,3,d2,31.20883374532064,0.7754385884015214,29.136183076598833,2.0726506687218063,0.07993630330047696,d0,5.2200354825946675,0.39705681611412647
1,synthetic,d0,3,d3,29.717799693721002,0.7194429788091373,29.136183076598833,0.5816166171221688,0.02394069370809293,d0,5.2200354825946675,0.11142005050760131
1,synthetic,d0,3,d3n,29.554801922829498,0.7176844212091025,29.136183076598833,0.4186188462306646,0.02218213610805808,d0,5.2200354825946675,0.08019463615266197
1,synthetic,d0,4,noop,28.05113930930554,0.65204414009908,28.05113930930554,0.0,0.0,d0,4.564436433460791,0.0
1,synthetic,d0,4,d0,32.61557574276633,0.844000061832963,28.05113930930554,4.564436433460791,0.1919559217338831,d0,4.564436433460791,1.0
1,synthetic,d0,4,d1,30.227162717899805,0.7466737274790594,28.05113930930554,2.176023408594265,0.0946295873799794,d0,4.564436433460791,0.47673430013010104
1,synthetic,d0,4,d15,29.822602811105934,0.7224101767923351,28.05113930930554,1.771463501800394,0.07036603669325514,d0,4.564436433460791,0.3881012535992875
1,synthetic,d0,4,d2,29.9988490329438,0.7217989024785763,28.05113930930554,1.9477097236382583,0.0697547623794963,d0,4.564436433460791,0.4267141742538168
1,synthetic,d0,4,d3,28.44320985606019,0.6664393974602782,28.05113930930554,0.39207054675464903,0.014395257361198288,d0,4.564436433460791,0.08589681387180105
1,synthetic,d0,4,d3n,28.331803182861616,0.6657878680793052,28.05113930930554,0.280663873556076,0.013743727980225273,d0,4.564436433460791,0.06148927203774738
1,synthetic,d0,5,noop,27.248359129104255,0.6235171477615553,27.248359129104255,0.0,0.0,d0,4.0657200393318575,0.0
1,synthetic,d0,5,d0,31.314079168436113,0.788001415995365,27.248359129104255,4.0657200393318575,0.16448426823380968,d0,4.0657200393318575,1.0
1,synthetic,d0,5,d1,28.225294089697897,0.6613322713222582,27.248359129104255,0.9769349605936419,0.037815123560702935,d0,4.0657200393318575,0.2402858414113007
1,synthetic,d0,5,d15,28.677289676755805,0.6750206870624157,27.248359129104255,1.4289305476515501,0.05150353930086038,d0,4.0657200393318575,0.3514581756313881
