question,domain,column,comparison,metric,n,mean,min,max,range,absolute_mean_over_range,replica_1,replica_2,replica_3,replica_4
ladder,synthetic,d3,d1-d0,psnr_db,4,1.4248434513256658,1.377831275618945,1.45912950689468,0.08129823127573488,17.52613099900169,1.4352565854211363,1.45912950689468,1.377831275618945,1.427156437367902
ladder,synthetic,d3,d1-d0,ssim,4,0.05680519777137952,0.053270333887278754,0.06072047944933601,0.007450145562057253,7.6247097856291495,0.05813415348851625,0.06072047944933601,0.053270333887278754,0.05509582426038706
ladder,synthetic,d3,d1-d0,retained,4,3.1392415113010905,2.8428042752926435,3.3584470098116372,0.5156427345189938,6.088016568738168,3.147096353229526,3.3584470098116372,2.8428042752926435,3.2086184068705554
ladder,synthetic,d3,d15-d1,psnr_db,4,-0.4055490198302465,-0.4136813705515969,-0.40062739675337156,0.013053973798225371,31.067093139514274,-0.40707207252609834,-0.40081523948991915,-0.40062739675337156,-0.4136813705515969
ladder,synthetic,d3,d15-d1,ssim,4,-0.001583735820485821,-0.002118296622110716,-0.0007184884132738212,0.0013998082088368946,1.1313948657307507,-0.002118296622110716,-0.0016530172677947652,-0.0007184884132738212,-0.0018451409787639816
ladder,synthetic,d3,d15-d1,retained,4,-0.8929483142307417,-0.9300631839487131,-0.8265927014744466,0.10347048247426649,8.629981158663501,-0.8925895536459547,-0.9225478178538521,-0.8265927014744466,-0.9300631839487131
ladder,synthetic,d3,d2-d15,psnr_db,4,-0.14094052082603348,-0.15932313781165064,-0.12821759301843727,0.03110554479321337,4.53104170857615,-0.13961556616411386,-0.12821759301843727,-0.13660578630993214,-0.15932313781165064
ladder,synthetic,d3,d2-d15,ssim,4,0.00035652757246029676,9.381318787449189e-05,0.0006949875693366137,0.0006011743814621218,0.5930518389575796,0.0006949875693366137,0.00035346228122157264,9.381318787449189e-05,0.00028384725140850886
ladder,synthetic,d3,d2-d15,retained,4,-0.3103256780694866,-0.3581998015337782,-0.28185128340706167,0.0763485181267165,4.0645933370237195,-0.3061359505974559,-0.29511567673965056,-0.28185128340706167,-0.3581998015337782
ladder,synthetic,d3,d3-d2,psnr_db,4,1.2919863272433698,1.2828354380074813,1.3039536170422181,0.021118179034736784,61.178869878800285,1.2831029806360945,1.2828354380074813,1.2980532732876853,1.3039536170422181
ladder,synthetic,d3,d3-d2,ssim,4,0.04010190682432763,0.039274979282484024,0.04070386897034495,0.0014288896878609236,28.0650823958013,0.04070386897034495,0.04054076814637497,0.039274979282484024,0.03988801089810656
ladder,synthetic,d3,d3-d2,retained,4,2.843993008633976,2.6782026654186533,2.952674742371311,0.27447207695265785,10.361684293023805,2.8134681646438393,2.952674742371311,2.6782026654186533,2.9316264621021006
noise,synthetic,d1,d3n-d3,psnr_db,4,-0.7513835243634306,-0.8317756001288927,-0.7105081150251955,0.12126748510369723,6.196084001584711,-0.7105081150251955,-0.8317756001288927,-0.7313570346087097,-0.7318933476909244
noise,synthetic,d1,d3n-d3,ssim,4,-0.0073336359614019075,-0.008394137231956589,-0.006198137277872995,0.002195999954083594,3.339542857350507,-0.008394137231956589,-0.008144678454164,-0.006198137277872995,-0.006597590881614046
strength_interaction,synthetic,d3,(D3-D1)_dr5-(D3-D1)_dr1,psnr_db,4,0.0911507005642136,0.08171175925199492,0.09923631103945496,0.01752455178746004,5.201314228728969,0.09243630297307348,0.09923631103945496,0.08171175925199492,0.09121842899233101
strength_common_reference,synthetic,d3,(gain_D1_dr5-gain_D1_dr1)/gain_D3_all,common_denominator_ratio,4,-0.6477194441464945,-0.6851633624778638,-0.5635701151395597,0.12159324733830412,5.326935979794751,-0.6851633624778638,-0.6832215172282894,-0.5635701151395597,-0.6589227817402654
