domain,column,strength,row,psnr_db_n,psnr_db_mean,psnr_db_min,psnr_db_max,psnr_db_range,ssim_n,ssim_mean,ssim_min,ssim_max,ssim_range,gain_db_n,gain_db_mean,gain_db_min,gain_db_max,gain_db_range,gain_ssim_n,gain_ssim_mean,gain_ssim_min,gain_ssim_max,gain_ssim_range,denominator_db_n,denominator_db_mean,denominator_db_min,denominator_db_max,denominator_db_range,retained_n,retained_mean,retained_min,retained_max,retained_range,source
synthetic,d0,1,d0,4,39.891069562265635,39.765265286584416,40.07107824692704,0.30581296034262095,4,0.974531340189909,0.9736382466302791,0.9755724039100145,0.001934157279735449,4,6.521546637564004,6.462272233022773,6.571502659757371,0.10923042673459804,4,0.11543847083934772,0.11227218297165886,0.11967541885487909,0.007403235883220227,4,6.521546637564004,6.462272233022773,6.571502659757371,0.10923042673459804,4,1.0,1.0,1.0,0.0,original_synthetic_results
synthetic,d0,1,d1,4,41.162700323574754,40.95223208002081,41.441973012288415,0.4897409322676012,4,0.9747094495162889,0.9731841225355444,0.9763194998329234,0.003135377297379005,4,7.793177398873123,7.758469453193769,7.833166998384151,0.07469754519038219,4,0.11561658016572773,0.11301927889456775,0.11922129476014443,0.006202015865576671,4,6.521546637564004,6.462272233022773,6.571502659757371,0.10923042673459804,4,1.1950927857740918,1.180623345206136,1.2121381947290901,0.031514849522954025,original_synthetic_results
synthetic,d0,1,d15,4,36.74172284429956,36.49472269622373,36.95732569985547,0.46260300363173457,4,0.9451910151407334,0.9427266634462025,0.9468926974081657,0.004166033961963245,4,3.3721999195979286,3.3009600693966874,3.452315908728643,0.15135583933195562,4,0.08609814579017214,0.08359247646981005,0.08876383567080248,0.005171359200992431,4,6.521546637564004,6.462272233022773,6.571502659757371,0.10923042673459804,4,0.5171086713691538,0.5023143473122422,0.5257892309000334,0.02347488358779115,original_synthetic_results
synthetic,d0,1,d2,4,36.49927438385075,36.236057373548334,36.68607443616983,0.4500170626214981,4,0.9428199984373766,0.9394859762930534,0.9449633371438219,0.005477360850768442,4,3.129751459149116,3.0422947467212893,3.2063249705161994,0.16403022379491006,4,0.08372712908681543,0.08166311620546618,0.08552314851765341,0.0038600323121872337,4,6.521546637564004,6.462272233022773,6.571502659757371,0.10923042673459804,4,0.4799357202563528,0.46295267676778434,0.4922756549756014,0.02932297820781704,original_synthetic_results
synthetic,d0,1,d3,4,34.99889671119382,34.84890316528893,35.13594817900322,0.28704501371429103,4,0.9141017387080865,0.9110661212603252,0.9157508485338278,0.004684727273502665,4,1.629373786492188,1.527142165098958,1.7598931359492411,0.23275097085028307,4,0.05500886935752525,0.05239360277641547,0.057103293484925155,0.004709690708509684,4,6.521546637564004,6.462272233022773,6.571502659757371,0.10923042673459804,4,0.24976971031704162,0.2363165942306065,0.26803249843892885,0.03171590420832235,original_synthetic_results
synthetic,d0,1,d3n,4,33.674640457642354,33.42271703979779,33.83302467632741,0.4103076365296232,4,0.9009297820566107,0.8964566299165359,0.9038381912394868,0.00738156132295098,4,0.30511753294072896,0.22421866242314792,0.4149277727913798,0.1907091103682319,4,0.04183691270604942,0.040537970301131154,0.042885726154029746,0.002347755852898592,4,6.521546637564004,6.462272233022773,6.571502659757371,0.10923042673459804,4,0.046763678085845785,0.03469656714202956,0.06319368224195482,0.02849711509992526,original_synthetic_results
synthetic,d0,1,noop,4,33.36952292470163,33.193762626827045,33.608806013904264,0.415043387077219,4,0.8590928693505613,0.8539628277754,0.8633002209383557,0.009337393162955676,4,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,4,6.521546637564004,6.462272233022773,6.571502659757371,0.10923042673459804,4,0.0,0.0,0.0,0.0,original_synthetic_results
synthetic,d0,2,d0,4,36.91665468817225,36.72577544055634,37.17377649441571,0.4480010538593717,4,0.9423793379442771,0.939784749617599,0.9455284874763847,0.005743737858785791,4,6.176778772142809,6.140248947444487,6.226709090040323,0.08646014259583623,4,0.17798641620049918,0.17485287125961324,0.1827017767552478,0.00784890549563455,4,6.176778772142809,6.140248947444487,6.226709090040323,0.08646014259583623,4,1.0,1.0,1.0,0.0,original_synthetic_results
synthetic,d0,2,d1,4,37.15447441214435,36.943380215783634,37.40314364473585,0.4597634289522148,4,0.9424049334542587,0.9398352821500089,0.9449071746644839,0.00507189251447504,4,6.414598496114909,6.358039140835615,6.484370781088099,0.12633164025248433,4,0.17801201171048087,0.17423155844771243,0.18275230928765773,0.008520750839945301,4,6.176778772142809,6.140248947444487,6.226709090040323,0.08646014259583623,4,1.0384901681546743,1.0354380101261347,1.045913036768038,0.010475026641903362,original_synthetic_results
synthetic,d0,2,d15,4,32.69560034124483,32.370960055427375,32.977191835143756,0.6062317797163814,4,0.8481891004279085,0.8400603488269546,0.8543257818423526,0.014265433015398066,4,1.9557244252153794,1.7856189804793559,2.0301244307683675,0.2445054502890116,4,0.0837961786841308,0.08278502380317265,0.08577214934316602,0.0029871255399933627,4,6.176778772142809,6.140248947444487,6.226709090040323,0.08646014259583623,4,0.3165852059643341,0.290796851519226,0.329925203485437,0.039128351966211006,original_synthetic_results
