row,tsrwgan,tsrwgan_gain,otis,otis_gain
noop,0.8801005497747265,0.0,0.3074583906070616,0.0
d0,0.6705,-0.20960054977472653,0.2633,-0.044158390607061615
d1,0.879,-0.0011005497747265114,0.3101,0.0026416093929383933
d15,0.789,-0.09110054977472648,0.2858,-0.021658390607061595
d2,0.7737,-0.10640054977472646,0.284,-0.02345839060706162
d3,0.9004,0.020299450225273463,0.3367,0.029241609392938406
d3n,0.8994,0.019299450225273462,0.3404,0.03294160939293839
