replica,row,epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,d1,26,36764.0,0.0001888,0.017815,34.7062,0.91183,60.9
1,d1,27,38178.0,0.0001812,0.017781,34.6939,0.91407,61.1
1,d1,28,39592.0,0.0001735,0.017755,34.7927,0.91137,61.4
1,d1,29,41006.0,0.0001657,0.017737,34.8286,0.91219,61.1
1,d1,30,42420.0,0.0001579,0.017624,34.8404,0.91351,61.3
1,d1,31,43834.0,0.00015,0.017596,34.8045,0.91288,61.2
1,d1,32,45248.0,0.0001421,0.017623,34.8113,0.91347,61.2
1,d1,33,46662.0,0.0001343,0.017542,34.8466,0.91483,60.8
1,d1,34,48076.0,0.0001265,0.017504,34.7338,0.91555,61.1
1,d1,35,49490.0,0.0001188,0.017504,34.9076,0.91456,60.9
1,d1,36,50904.0,0.0001112,0.017464,34.907,0.91616,61.0
1,d1,37,52318.0,0.0001036,0.017447,34.8506,0.91634,60.7
1,d1,38,53732.0,9.624e-05,0.017381,34.8808,0.91534,60.7
1,d1,39,55146.0,8.899e-05,0.017375,34.9239,0.9159,60.9
1,d1,40,56560.0,8.19e-05,0.017387,34.9642,0.91329,60.9
1,d1,41,57974.0,7.5e-05,0.017317,34.9906,0.91369,60.9
1,d1,42,59388.0,6.83e-05,0.017287,34.9454,0.91542,60.8
1,d1,43,60802.0,6.183e-05,0.017256,34.9968,0.91663,61.0
1,d1,44,62216.0,5.56e-05,0.017264,34.9481,0.91663,60.8
1,d1,45,63630.0,4.963e-05,0.017258,35.002,0.91423,60.7
1,d1,46,65044.0,4.393e-05,0.017274,35.0246,0.91529,60.7
1,d1,47,66458.0,3.853e-05,0.017245,34.9963,0.91741,61.0
1,d1,48,67872.0,3.343e-05,0.017195,35.0006,0.91655,60.9
1,d1,49,69286.0,2.865e-05,0.017207,35.0408,0.91622,60.9
1,d1,50,70700.0,2.42e-05,0.017166,35.0656,0.91575,61.1
1,d1,51,72114.0,2.01e-05,0.017125,35.0319,0.91723,60.9
1,d1,52,73528.0,1.635e-05,0.017168,35.0753,0.91668,60.9
1,d1,53,74942.0,1.297e-05,0.017102,35.088,0.91644,60.9
1,d1,54,76356.0,9.963e-06,0.017144,35.0636,0.91724,61.0
1,d1,55,77770.0,7.342e-06,0.017081,35.0934,0.91698,61.2
1,d1,56,79184.0,5.111e-06,0.017083,35.0912,0.91692,61.1
1,d1,57,80598.0,3.278e-06,0.017148,35.097,0.91702,61.0
1,d1,58,82012.0,1.847e-06,0.017097,35.0974,0.91741,61.2
1,d1,59,83426.0,8.217e-07,0.017078,35.0937,0.91734,60.7
1,d1,60,84840.0,2.056e-07,0.017099,35.0974,0.9172,60.5
1,d15,1,1414.0,0.0003,0.020781,33.6957,0.89739,62.3
1,d15,2,2828.0,0.0002998,0.019694,33.9629,0.90246,61.8
1,d15,3,4242.0,0.0002992,0.019395,34.0857,0.90063,62.1
1,d15,4,5656.0,0.0002982,0.019189,34.1152,0.90237,61.6
1,d15,5,7070.0,0.0002967,0.01909,33.9498,0.90333,62.0
1,d15,6,8484.0,0.0002949,0.019069,34.2505,0.90225,61.8
1,d15,7,9898.0,0.0002927,0.018993,34.2154,0.90561,62.3
1,d15,8,11312.0,0.00029,0.018965,34.3594,0.90492,62.6
1,d15,9,12726.0,0.000287,0.018871,34.2172,0.90552,62.6
1,d15,10,14140.0,0.0002837,0.018778,34.3935,0.90538,62.4
1,d15,11,15554.0,0.0002799,0.018688,34.3149,0.90739,62.3
1,d15,12,16968.0,0.0002758,0.018644,34.1957,0.90711,62.0
1,d15,13,18382.0,0.0002714,0.018627,34.4406,0.90338,62.2
1,d15,14,19796.0,0.0002666,0.018569,34.424,0.9082,62.0
1,d15,15,21210.0,0.0002615,0.018527,34.4799,0.9054,62.3
1,d15,16,22624.0,0.0002561,0.018475,34.5261,0.90877,62.2
1,d15,17,24038.0,0.0002504,0.018434,34.4276,0.90895,62.3
1,d15,18,25452.0,0.0002444,0.018418,34.4674,0.90911,62.3
1,d15,19,26866.0,0.0002382,0.018398,34.6126,0.90768,62.4
1,d15,20,28280.0,0.0002317,0.018351,34.5811,0.90881,62.2
1,d15,21,29694.0,0.000225,0.01825,34.5696,0.90715,62.5
1,d15,22,31108.0,0.0002181,0.018292,34.54,0.90959,62.5
1,d15,23,32522.0,0.000211,0.018296,34.5103,0.91047,62.6
1,d15,24,33936.0,0.0002038,0.018218,34.482,0.91137,62.5
1,d15,25,35350.0,0.0001964,0.018143,34.5939,0.91134,62.2
1,d15,26,36764.0,0.0001888,0.018125,34.6684,0.90975,62.2
1,d15,27,38178.0,0.0001812,0.018087,34.6814,0.91002,62.6
1,d15,28,39592.0,0.0001735,0.018138,34.6746,0.9101,62.5
1,d15,29,41006.0,0.0001657,0.018101,34.7194,0.90949,62.2
1,d15,30,42420.0,0.0001579,0.017966,34.7077,0.9115,62.3
1,d15,31,43834.0,0.00015,0.017865,34.7547,0.91309,62.3
1,d15,32,45248.0,0.0001421,0.017865,34.8202,0.91292,62.2
1,d15,33,46662.0,0.0001343,0.017784,34.7532,0.91147,62.6
1,d15,34,48076.0,0.0001265,0.017779,34.8119,0.91403,62.1
1,d15,35,49490.0,0.0001188,0.017714,34.8099,0.91413,62.3
1,d15,36,50904.0,0.0001112,0.017671,34.8136,0.91332,62.6
1,d15,37,52318.0,0.0001036,0.017574,34.8782,0.91635,62.2
1,d15,38,53732.0,9.624e-05,0.017522,34.9291,0.91415,62.2
1,d15,39,55146.0,8.899e-05,0.017548,34.8269,0.91659,62.0
1,d15,40,56560.0,8.19e-05,0.017493,34.9316,0.91479,62.3
1,d15,41,57974.0,7.5e-05,0.017432,34.993,0.91741,62.0
1,d15,42,59388.0,6.83e-05,0.017382,35.0093,0.91774,62.2
1,d15,43,60802.0,6.183e-05,0.017378,34.9541,0.91856,62.3
1,d15,44,62216.0,5.56e-05,0.017297,35.0139,0.91826,62.3
1,d15,45,63630.0,4.963e-05,0.017242,35.048,0.91907,62.1
1,d15,46,65044.0,4.393e-05,0.017244,35.0532,0.91852,62.4
1,d15,47,66458.0,3.853e-05,0.017244,35.0767,0.91928,62.2
1,d15,48,67872.0,3.343e-05,0.017094,35.0783,0.91957,62.1
1,d15,49,69286.0,2.865e-05,0.017183,35.1003,0.91966,62.3
