epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,1414,3.000e-04,0.023234,32.5495,0.87162,62.7
2,2828,2.998e-04,0.021876,32.6032,0.87651,61.9
3,4242,2.992e-04,0.021570,32.5500,0.87935,61.7
4,5656,2.982e-04,0.021497,32.8180,0.87961,61.5
5,7070,2.967e-04,0.021408,32.9820,0.87931,61.6
6,8484,2.949e-04,0.021316,32.9154,0.88199,61.6
7,9898,2.927e-04,0.021022,32.9507,0.88251,61.7
8,11312,2.900e-04,0.021025,33.0877,0.88405,61.8
9,12726,2.870e-04,0.020823,33.0220,0.88513,61.6
10,14140,2.837e-04,0.020842,33.2755,0.88520,61.6
11,15554,2.799e-04,0.020712,33.2575,0.88499,61.8
12,16968,2.758e-04,0.020641,33.4051,0.88470,61.8
13,18382,2.714e-04,0.020612,33.3752,0.88506,61.6
14,19796,2.666e-04,0.020468,33.2344,0.88854,61.6
15,21210,2.615e-04,0.020471,33.3214,0.88529,61.8
16,22624,2.561e-04,0.020376,33.2634,0.88194,61.6
17,24038,2.504e-04,0.020402,33.2959,0.88971,61.6
18,25452,2.444e-04,0.020343,33.4083,0.88689,61.5
19,26866,2.382e-04,0.020312,33.3501,0.89005,61.7
20,28280,2.317e-04,0.020178,33.4365,0.89052,61.9
21,29694,2.250e-04,0.020221,33.5124,0.88804,61.6
22,31108,2.181e-04,0.020187,33.5228,0.89076,61.5
23,32522,2.110e-04,0.020195,33.5399,0.89109,61.8
24,33936,2.038e-04,0.020057,33.5623,0.89040,61.8
25,35350,1.964e-04,0.020115,33.5257,0.89145,61.5
26,36764,1.888e-04,0.020040,33.5126,0.89166,61.6
27,38178,1.812e-04,0.019979,33.6395,0.89257,62.0
28,39592,1.735e-04,0.019976,33.6167,0.89135,61.7
29,41006,1.657e-04,0.019946,33.5955,0.89223,61.9
30,42420,1.579e-04,0.019899,33.6938,0.89114,61.5
31,43834,1.500e-04,0.019913,33.6924,0.89345,61.5
32,45248,1.421e-04,0.019872,33.6404,0.89377,61.9
33,46662,1.343e-04,0.019776,33.7286,0.89125,61.9
34,48076,1.265e-04,0.019827,33.6512,0.89604,61.9
35,49490,1.188e-04,0.019743,33.6473,0.89512,61.9
36,50904,1.112e-04,0.019676,33.5232,0.89656,61.6
37,52318,1.036e-04,0.019657,33.7498,0.89488,61.6
38,53732,9.624e-05,0.019703,33.7385,0.89583,61.7
39,55146,8.899e-05,0.019599,33.7985,0.89570,61.9
40,56560,8.190e-05,0.019563,33.8068,0.89647,61.6
41,57974,7.500e-05,0.019492,33.7526,0.89689,61.6
42,59388,6.830e-05,0.019534,33.8045,0.89753,61.7
43,60802,6.183e-05,0.019554,33.8067,0.89600,61.7
44,62216,5.560e-05,0.019420,33.8033,0.89788,61.9
45,63630,4.963e-05,0.019504,33.8510,0.89746,61.8
46,65044,4.393e-05,0.019458,33.7943,0.89779,61.7
47,66458,3.853e-05,0.019413,33.8446,0.89737,61.6
48,67872,3.343e-05,0.019293,33.9025,0.89740,62.0
49,69286,2.865e-05,0.019381,33.8907,0.89811,61.3
50,70700,2.420e-05,0.019331,33.8347,0.89908,61.9
51,72114,2.010e-05,0.019359,33.8867,0.89838,61.2
52,73528,1.635e-05,0.019362,33.9150,0.89837,61.3
53,74942,1.297e-05,0.019366,33.9150,0.89819,61.2
54,76356,9.963e-06,0.019256,33.9083,0.89875,61.0
55,77770,7.342e-06,0.019272,33.8804,0.89849,61.2
56,79184,5.111e-06,0.019302,33.9200,0.89855,61.2
57,80598,3.278e-06,0.019372,33.9110,0.89865,61.1
58,82012,1.847e-06,0.019328,33.9169,0.89861,61.1
59,83426,8.217e-07,0.019311,33.9180,0.89864,60.9
60,84840,2.056e-07,0.019313,33.9175,0.89864,61.0
