epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,1414,3.000e-04,0.028171,31.1932,0.82357,62.1
2,2828,2.998e-04,0.025084,31.6558,0.83515,61.9
3,4242,2.992e-04,0.024005,31.7637,0.84775,61.7
4,5656,2.982e-04,0.023464,32.3292,0.85098,61.5
5,7070,2.967e-04,0.023026,32.3252,0.85411,61.1
6,8484,2.949e-04,0.022721,32.6243,0.85915,61.4
7,9898,2.927e-04,0.022381,32.6556,0.85424,61.3
8,11312,2.900e-04,0.022281,32.6604,0.86218,61.3
9,12726,2.870e-04,0.021914,32.7673,0.86684,61.3
10,14140,2.837e-04,0.021776,32.9790,0.86054,61.4
11,15554,2.799e-04,0.021628,33.0191,0.86737,61.0
12,16968,2.758e-04,0.021484,33.0487,0.86680,61.3
13,18382,2.714e-04,0.021325,33.1296,0.87129,61.2
14,19796,2.666e-04,0.021135,33.2872,0.87185,61.3
15,21210,2.615e-04,0.020989,33.1685,0.87200,61.7
16,22624,2.561e-04,0.020912,33.2768,0.87298,61.6
17,24038,2.504e-04,0.020747,33.1436,0.87663,61.6
18,25452,2.444e-04,0.020717,32.9683,0.87592,61.4
19,26866,2.382e-04,0.020657,32.9886,0.87791,61.3
20,28280,2.317e-04,0.020530,33.4795,0.87908,61.6
21,29694,2.250e-04,0.020524,33.4325,0.87836,61.3
22,31108,2.181e-04,0.020412,33.4539,0.87798,61.3
23,32522,2.110e-04,0.020269,33.4809,0.87239,61.6
24,33936,2.038e-04,0.020229,33.6411,0.87635,61.5
25,35350,1.964e-04,0.020170,33.5204,0.88212,61.1
26,36764,1.888e-04,0.020086,33.4872,0.88050,61.4
27,38178,1.812e-04,0.020002,33.6710,0.88056,61.5
28,39592,1.735e-04,0.019984,33.7514,0.88142,61.7
29,41006,1.657e-04,0.019923,33.6694,0.88325,61.8
30,42420,1.579e-04,0.019880,33.8871,0.88063,61.7
31,43834,1.500e-04,0.019821,33.8406,0.88287,61.3
32,45248,1.421e-04,0.019749,33.7245,0.88398,61.7
33,46662,1.343e-04,0.019718,33.8917,0.87964,61.7
34,48076,1.265e-04,0.019683,33.5903,0.88521,61.5
35,49490,1.188e-04,0.019638,33.8977,0.88384,61.7
36,50904,1.112e-04,0.019548,33.6409,0.88664,61.7
37,52318,1.036e-04,0.019500,33.9076,0.88559,61.4
38,53732,9.624e-05,0.019473,33.8916,0.88484,61.6
39,55146,8.899e-05,0.019435,33.9915,0.88644,61.6
40,56560,8.190e-05,0.019416,34.0505,0.88523,61.7
41,57974,7.500e-05,0.019241,33.9906,0.88638,61.7
42,59388,6.830e-05,0.019335,34.1328,0.88470,61.3
43,60802,6.183e-05,0.019302,34.0633,0.88701,61.4
44,62216,5.560e-05,0.019223,34.1260,0.88659,61.2
45,63630,4.963e-05,0.019160,34.0841,0.88767,61.3
46,65044,4.393e-05,0.019166,34.0632,0.88851,61.7
47,66458,3.853e-05,0.019129,34.1885,0.88642,61.7
48,67872,3.343e-05,0.019032,34.1339,0.88714,61.3
49,69286,2.865e-05,0.019163,34.1906,0.88745,61.3
50,70700,2.420e-05,0.019087,34.1287,0.88889,61.2
51,72114,2.010e-05,0.018983,34.2060,0.88811,61.5
52,73528,1.635e-05,0.018986,34.2005,0.88857,61.2
53,74942,1.297e-05,0.018996,34.2105,0.88798,61.4
54,76356,9.963e-06,0.018963,34.2286,0.88799,61.1
55,77770,7.342e-06,0.018950,34.2025,0.88867,61.1
56,79184,5.111e-06,0.018967,34.2350,0.88852,61.4
57,80598,3.278e-06,0.018955,34.2401,0.88843,61.0
58,82012,1.847e-06,0.018981,34.2341,0.88857,61.3
59,83426,8.217e-07,0.018952,34.2196,0.88874,61.8
60,84840,2.056e-07,0.018970,34.2293,0.88865,61.7
