epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,1374,3.000e-04,0.106873,20.9081,0.78843,88.1
2,2748,2.998e-04,0.095827,21.1188,0.79500,86.6
3,4122,2.992e-04,0.093182,21.2324,0.79988,86.3
4,5496,2.982e-04,0.090486,21.5266,0.79930,86.5
5,6870,2.967e-04,0.088502,21.4396,0.80054,86.9
6,8244,2.949e-04,0.086712,22.0304,0.80685,87.1
7,9618,2.927e-04,0.085088,21.6013,0.80331,87.2
8,10992,2.900e-04,0.084172,21.7686,0.80829,87.5
9,12366,2.870e-04,0.083200,22.1492,0.80829,87.4
10,13740,2.837e-04,0.082245,22.1303,0.81213,87.0
11,15114,2.799e-04,0.080966,22.2635,0.81576,87.2
12,16488,2.758e-04,0.080604,22.1774,0.81807,87.4
13,17862,2.714e-04,0.079995,22.4932,0.82176,87.4
14,19236,2.666e-04,0.078691,22.5423,0.81810,88.0
15,20610,2.615e-04,0.078341,21.9760,0.82190,87.8
16,21984,2.561e-04,0.077220,22.4907,0.82681,87.5
