epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,1414,3.000e-04,0.020754,33.8120,0.90233,63.0
2,2828,2.998e-04,0.019681,34.0180,0.90543,62.5
3,4242,2.992e-04,0.019313,34.0613,0.90513,62.1
4,5656,2.982e-04,0.019210,34.0351,0.90721,62.1
5,7070,2.967e-04,0.019135,34.0924,0.90779,62.2
6,8484,2.949e-04,0.019126,34.0495,0.90955,61.9
7,9898,2.927e-04,0.019038,34.3561,0.90840,61.9
8,11312,2.900e-04,0.018893,34.2500,0.90873,62.0
9,12726,2.870e-04,0.018918,34.2162,0.90984,61.9
10,14140,2.837e-04,0.018839,34.4858,0.90739,61.7
11,15554,2.799e-04,0.018793,34.4510,0.90992,61.9
12,16968,2.758e-04,0.018802,34.4737,0.91150,61.6
13,18382,2.714e-04,0.018679,34.4546,0.91166,62.2
14,19796,2.666e-04,0.018701,34.4672,0.91147,61.9
15,21210,2.615e-04,0.018600,34.5591,0.91106,62.2
16,22624,2.561e-04,0.018479,34.4648,0.91335,62.2
17,24038,2.504e-04,0.018469,34.6081,0.91125,62.1
18,25452,2.444e-04,0.018542,34.6429,0.91165,61.9
19,26866,2.382e-04,0.018385,34.5382,0.91353,61.6
20,28280,2.317e-04,0.018414,34.7361,0.91202,62.4
21,29694,2.250e-04,0.018442,34.7266,0.91118,62.0
22,31108,2.181e-04,0.018296,34.6326,0.91500,61.9
23,32522,2.110e-04,0.018176,34.7307,0.91436,61.9
24,33936,2.038e-04,0.018249,34.7296,0.91419,62.5
25,35350,1.964e-04,0.018232,34.8507,0.91312,62.2
26,36764,1.888e-04,0.018172,34.8435,0.91429,62.4
27,38178,1.812e-04,0.018135,34.8019,0.91476,62.1
28,39592,1.735e-04,0.018136,34.7905,0.91509,62.1
29,41006,1.657e-04,0.018098,34.8872,0.91445,62.2
30,42420,1.579e-04,0.018079,34.9119,0.91484,62.4
31,43834,1.500e-04,0.018023,34.8853,0.91383,62.4
32,45248,1.421e-04,0.017934,34.9071,0.91712,62.5
33,46662,1.343e-04,0.017896,34.8900,0.91778,62.0
34,48076,1.265e-04,0.017815,34.9988,0.91804,61.8
35,49490,1.188e-04,0.017667,35.0253,0.91863,61.7
36,50904,1.112e-04,0.017799,34.9789,0.91998,61.9
37,52318,1.036e-04,0.017648,34.9184,0.92036,61.6
38,53732,9.624e-05,0.017571,35.0958,0.91928,61.6
39,55146,8.899e-05,0.017593,35.0835,0.92036,61.6
40,56560,8.190e-05,0.017470,35.1399,0.91997,61.7
41,57974,7.500e-05,0.017454,35.0799,0.92276,61.8
42,59388,6.830e-05,0.017369,35.1631,0.92275,61.6
43,60802,6.183e-05,0.017361,35.1869,0.92091,61.6
44,62216,5.560e-05,0.017387,35.1451,0.92330,61.7
45,63630,4.963e-05,0.017335,35.2084,0.92301,61.6
46,65044,4.393e-05,0.017261,35.2267,0.92351,62.0
47,66458,3.853e-05,0.017228,35.1739,0.92427,61.8
48,67872,3.343e-05,0.017171,35.2225,0.92389,61.9
49,69286,2.865e-05,0.017140,35.2365,0.92371,61.9
50,70700,2.420e-05,0.017202,35.2777,0.92349,61.9
51,72114,2.010e-05,0.017112,35.2887,0.92368,61.8
52,73528,1.635e-05,0.017175,35.2658,0.92342,61.8
53,74942,1.297e-05,0.017108,35.2692,0.92420,62.1
54,76356,9.963e-06,0.017134,35.2789,0.92418,61.7
55,77770,7.342e-06,0.017072,35.2922,0.92406,61.8
56,79184,5.111e-06,0.017134,35.2877,0.92453,61.9
57,80598,3.278e-06,0.017135,35.2941,0.92477,61.8
58,82012,1.847e-06,0.017089,35.2998,0.92461,62.1
59,83426,8.217e-07,0.017121,35.3017,0.92465,62.0
60,84840,2.056e-07,0.017001,35.3001,0.92465,62.0
